start_dates,end_dates,changes,errors
2000.0,2001.0,-0.25862608607862375,1.8502977174017845
2001.0,2002.0,-0.6526173264569521,1.8476903149985922
2002.0,2003.0,-0.05233312701815948,1.8492806934761719
2003.0,2004.0,0.5424806738479843,1.5453276809133263
2004.0,2005.0,-1.3273262494515368,1.5512947307558227
2005.0,2006.0,0.4403952715594401,1.5396486074204243
2006.0,2007.0,-2.122729141859017,1.5324136647060382
2007.0,2008.0,1.4526239232590634,1.5302609308236912
2008.0,2009.0,0.9512929054271593,1.5293718761940653
2009.0,2010.0,-0.8724502987311391,1.5385874206062793
2010.0,2011.0,-1.3894244115250824,1.5448375533617253
2011.0,2012.0,-0.8380043530275882,1.5356466161732347
2012.0,2013.0,-1.4199838238667706,1.581440074867247
2013.0,2014.0,0.6741254394604949,1.5307689927559252
2014.0,2015.0,-0.4477573707173468,1.521237949854098
2015.0,2016.0,-0.40441789158504793,1.5549776614679967
2016.0,2017.0,-1.4714361879734468,1.515996774335936
2017.0,2018.0,-1.296593572312861,1.51135257553184
2018.0,2019.0,0.008602523936069029,1.5066957073818767
2019.0,2020.0,0.23473678039481471,1.5319949050004456
2020.0,2021.0,-1.1721592061068968,1.5317750356014002
2021.0,2022.0,0.4461854041608093,1.8951755754771122
2022.0,2023.0,0.7009536334496708,1.9103399000530263
2023.0,2024.0,-1.286391095112139,2.6245459555404973
