start_dates,end_dates,changes
2000.0,2001.0,0.08989313946530153
2001.0,2002.0,-0.9692093172146303
2002.0,2003.0,-1.060474175388845
2003.0,2004.0,-1.551939640401438
2004.0,2005.0,-0.5648479845453
2005.0,2006.0,0.1978905419226048
2006.0,2007.0,0.9032499375997153
2007.0,2008.0,-0.6494149734867671
2008.0,2009.0,-2.3850170058020526
2009.0,2010.0,-0.11144482756938778
2010.0,2011.0,-1.6576805480631496
2011.0,2012.0,-2.0776008832012436
2012.0,2013.0,-0.2765412726681431
2013.0,2014.0,0.05690861194796759
2014.0,2015.0,-0.23721490424543124
2015.0,2016.0,-0.18001716351922586
2016.0,2017.0,-1.5868970322823306
2017.0,2018.0,-0.6356909445206014
2018.0,2019.0,-2.421006361894361
2019.0,2020.0,-2.2322715867184746
2020.0,2021.0,-1.7073527086663358
2021.0,2022.0,-0.08220583258036274
2022.0,2023.0,-2.287597836295951
2023.0,2024.0,-1.6320344546730214
