start_dates,end_dates,changes
2000.25,2001.25,0.10843911618933683
2001.25,2002.25,-1.2875902953381062
2002.25,2003.25,-0.9326986503579552
2003.25,2004.25,-1.6898136387505522
2004.25,2005.25,0.8806993749405824
2005.25,2006.25,0.10904077797722626
2006.25,2007.25,0.25845835929937866
2007.25,2008.25,-1.9860339297456708
2008.25,2009.25,-1.066385697612768
2009.25,2010.25,-0.2094401518767806
2010.25,2011.25,-2.3328203897086124
2011.25,2012.25,-0.9814289390931763
2012.25,2013.25,0.024790270483895427
2013.25,2014.25,-0.009122544015023996
2014.25,2015.25,-0.03296328907862252
2015.25,2016.25,-1.3932606755969121
2016.25,2017.25,0.10735681917964975
2017.25,2018.25,-2.3203504592989717
2018.25,2019.25,-1.8310142365173856
2019.25,2020.25,-1.4297339745610882
2020.25,2021.25,-0.45835484933302184
2021.25,2022.25,-1.3967113496650432
2022.25,2023.25,-1.3729018895743004
2023.25,2024.25,-1.0284354612258888
