,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_gt,altimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_gt,gravimetry_gt_errors,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,1999.75,2000.75,11010.23,iceland,-12.992904693497826,9.293551348120271,-1.1836265632584042,0.8407516884240241,,,,,,,,,-1.192448314633229,0.4160507680718306,-13.089742816602543,4.634166597231633
1,2000.75,2001.75,10970.414,iceland,-9.536602226788428,8.34264837074284,-0.8719176980150322,0.7553411081697275,,,,,,,,,-0.8807394493898569,0.1917681665876404,-9.633090156780963,2.1687542165660454
2,2001.75,2002.75,10930.598,iceland,-8.63257674606144,8.305299339973553,-0.7921389482324072,0.7521729581074221,,,,,,,,,-0.8009606996072319,0.1788826401118415,-8.728714482941795,2.0202125429910742
3,2002.75,2003.75,10890.782,iceland,-11.892389533469522,5.942278837361471,-1.095254138374676,0.5361884406645991,,,,,-0.9275277293794636,0.2267667214115606,-10.071197792727855,2.5507159629204064,-1.1707806138916628,0.1761780625396221,-12.712464286413109,2.044024743867215
4,2003.75,2004.75,10850.966,iceland,-15.273839071816765,5.9461800844953,-1.4118372933081182,0.534781028020951,,,,,-1.3763193619759977,0.2284456194535461,-14.889591418137414,2.6267385769059115,-1.355155291162013,0.1557089295053176,-14.660629757151748,1.8669054715505762
5,2004.75,2005.75,10811.15,iceland,-18.260844767145507,5.975394819692602,-1.694157619085503,0.5355330235691589,,,,,-1.982982550069324,0.2261504939067506,-21.374006830793423,2.713072758810423,-1.313132754623456,0.1688434526087992,-14.15388575460693,1.991771605224651
6,2005.75,2006.75,10771.334,iceland,-7.145396167251759,5.905324392219952,-0.665367619073481,0.5345609290087507,,,,,-0.2468017216936417,0.2267031085976061,-2.6504086248088488,2.5033245013152414,-0.9917335829750944,0.1552318520587907,-10.650246780257731,1.7926330218090454
7,2006.75,2007.75,10731.518,iceland,-10.82123255348334,5.917563662359207,-1.0113940949723244,0.5344039584246608,,,,,-1.1255642293510135,0.2263183372771793,-12.04277574907422,2.5671868980736914,-0.8050240271154092,0.1536230887025288,-8.613212447909238,1.7478606873186457
8,2007.75,2008.75,10691.702,iceland,-14.391909394298947,5.9351795544381805,-1.3501325644333526,0.5342787231857062,,,,,-1.5946781058803672,0.2254209817583284,-16.99867362471534,2.626970759816864,-1.013387089508112,0.1531994687638682,-10.802328273353055,1.7735473638368395
9,2008.75,2009.75,10651.886,iceland,-0.8377758720618814,5.895136274443581,-0.0788871343862418,0.5346044869641485,,,,,0.366160925087837,0.2288997072204973,3.888603518395109,2.5315134137902455,-0.4317352603820947,0.1525858250749336,-4.584998391443078,1.698082552764269
10,2009.75,2010.75,10612.07,iceland,-32.05918200452009,6.110559332130996,-3.030101474205712,0.5347473878930213,,,,,-3.198683364646454,0.2267535504879629,-33.8428178181433,3.0191379332471997,-2.769319650286745,0.1577072694119276,-29.300049339274803,2.273848471039216
11,2010.75,2011.75,10572.254,iceland,-10.618621748205303,4.962311128962052,-1.007408019955928,0.4474387447041975,-1.763940154461329,0.3413103689109281,-18.59287688370311,3.8766843801850484,-0.9061194785887056,0.2400039785388589,-9.550986106141396,2.689221686478697,-0.3521644268177485,0.162550653021006,-3.712002254771404,1.8020003765755237
12,2011.75,2012.75,10532.438,iceland,-6.431141963412864,4.887684110554532,-0.6124406755343917,0.4422938924584286,-1.253853469327535,0.2762221230545555,-13.16651552499683,3.116184363188009,0.2121451354428185,0.2412330874296617,2.227702269594929,2.6623648579612924,-0.7956136927184587,0.1575672621282031,-8.354612634836693,1.7869768931801548
13,2012.75,2013.75,10492.622,iceland,-3.569198546950885,4.810256109173488,-0.3411862508758055,0.4359320772691535,0.0559110571900852,0.1804287533346647,0.5848936279497983,1.9897703095427528,-0.6442318896436116,0.2359899813829603,-6.739402653281002,2.6239460429559096,-0.4352379201738901,0.1441863296665115,-4.55308661552145,1.6061325035637668
14,2013.75,2014.75,10452.806,iceland,-4.826099126369687,4.824582022571678,-0.4630929713358978,0.4369839829626275,-0.3851854731524128,0.1952088379824053,-4.014190217805739,2.1618698881855667,-0.1701975674141407,0.2389931259774603,-1.7737050273903785,2.6368259937692287,-0.8338958734411398,0.1485776823010663,-8.690402133912945,1.6949818811879904
15,2014.75,2015.75,10412.99,iceland,9.047329618212157,4.864830120048813,0.8714647068753829,0.4392701008128721,1.1157971829126785,0.239671341787633,11.583928552974799,2.7055364915675257,0.6344089083313007,0.2393708033835466,6.586275337509657,2.6599626449497924,0.8641880293821693,0.1434844232051931,8.971784964152008,1.644541297807425
16,2015.75,2016.75,10373.174,iceland,-12.013536568934402,4.935320309215628,-1.161619927113132,0.4442468271411196,-0.9875482735693144,0.2971369930875977,-10.213278044908698,3.3160327960854654,-1.509171563740738,0.2560615435501307,-15.607934528855163,2.929406573778673,-0.988139944029344,0.1450648274189521,-10.219397133039347,1.6792326581877262
17,2016.75,2017.75,10333.358,iceland,-0.9784531193304836,4.779840668103248,-0.094973706636727,0.433451375356108,0.132431667506937,0.206599742323116,1.364358439393489,2.2791593207628633,-0.0956706568867756,0.1603678297894276,-0.9856333502630992,1.7690337694104938,-0.3216821305303425,0.1456848616003196,-3.3140844471218407,1.6149643210930853
