region,data_group,dataset,exclusion_type,inclusion_possible
alaska,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
alaska,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
alaska,gravimetry,Jacob_2012_dmdt,annual,yes
antarctic_and_subantarctic,altimetry,Gardner2013_icesat,annual,no
antarctic_and_subantarctic,altimetry,Khan,annual,yes
antarctic_and_subantarctic,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
antarctic_and_subantarctic,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
arctic_canada_north,altimetry,Gardner2013_icesat,annual,yes
arctic_canada_north,altimetry,Khan,annual,no
arctic_canada_north,altimetry,Tepes,annual,yes
arctic_canada_north,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
arctic_canada_north,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
arctic_canada_north,gravimetry,Jacob_2012_dmdt,annual,yes
arctic_canada_south,altimetry,Gardner2013_icesat,annual,yes
arctic_canada_south,altimetry,Khan,annual,no
arctic_canada_south,altimetry,Tepes,annual,yes
arctic_canada_south,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
arctic_canada_south,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
arctic_canada_south,gravimetry,Jacob_2012_dmdt,annual,yes
caucasus_middle_east,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
caucasus_middle_east,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
caucasus_middle_east,gravimetry,Jacob_2012_dmdt,annual,yes
caucasus_middle_east,gravimetry,Jacob_2012_dmdt,trend,yes
caucasus_middle_east,gravimetry,Wouters,annual,yes
caucasus_middle_east,gravimetry,Wouters,trend,yes
central_asia,altimetry,Ke,annual,yes
central_asia,altimetry,Treichler_ICESat,annual,no
central_asia,altimetry,Treichler_ICESat,trend,yes
central_asia,altimetry,Treichler_snowfall,annual,no
central_asia,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
central_asia,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
central_asia,gravimetry,Harig_Group,annual,yes
central_asia,gravimetry,Harig_Group,trend,yes
central_asia,gravimetry,Jacob_2012_dmdt,annual,yes
central_asia,gravimetry,Jacob_2012_dmdt,trend,yes
central_asia,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
central_asia,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
central_asia,gravimetry,Wouters,annual,yes
central_asia,gravimetry,Wouters,trend,yes
central_europe,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
central_europe,demdiff_and_glaciological,WGMS-mean_ba,annual,yes
central_europe,gravimetry,Jacob_2012_dmdt,annual,yes
central_europe,gravimetry,Jacob_2012_dmdt,trend,yes
central_europe,gravimetry,Sasgen_AWIarc_RL01_2,annual,yes
central_europe,gravimetry,Sasgen_AWIarc_RL01_2,trend,yes
central_europe,gravimetry,Wouters,annual,yes
central_europe,gravimetry,Wouters,trend,yes
greenland_periphery,altimetry,Bolch_2013,annual,no
greenland_periphery,altimetry,Gardner2013_icesat,annual,no
greenland_periphery,altimetry,Khan,annual,yes
greenland_periphery,demdiff_and_glaciological,UZH_GlaciolSineWave,annual,yes
