start_dates,end_dates,changes,errors
2000.0,2001.0,-1.0086191960805266,1.125772721776599
2001.0,2002.0,-1.6901557650227956,0.6313998062229133
2002.0,2003.0,-2.2027037318030045,0.6548850451522376
2003.0,2004.0,-1.4659368188095756,0.6147951549454749
2004.0,2005.0,-0.6660163385800365,0.636081568593669
2005.0,2006.0,-0.4849191605111844,0.5965909109047021
2006.0,2007.0,-1.575830722912242,0.6083321589419279
2007.0,2008.0,-1.708190827428384,0.6087815146351345
2008.0,2009.0,-1.895992302930291,0.6027251972675071
2009.0,2010.0,0.51785167222228,0.6095438548847675
2010.0,2011.0,-1.4018852761165346,0.6024975603701309
2011.0,2012.0,-2.3322688448718147,0.6037052599144216
2012.0,2013.0,-2.2835491772702414,0.603540189878989
2013.0,2014.0,-0.9940755012898779,0.6176786043290463
2014.0,2015.0,-0.8418501653652796,0.6213177979086032
2015.0,2016.0,-2.093841556139602,0.6346182356703404
2016.0,2017.0,-1.2028785483271371,0.6250031632193367
2017.0,2018.0,-2.4450051195478912,0.6363132916967141
2018.0,2019.0,-1.5678455073321191,0.6327957717136626
2019.0,2020.0,-0.893768642876215,0.6047534782371511
2020.0,2021.0,-1.1564867888783834,0.7105608024043863
2021.0,2022.0,-1.375400861188644,0.7121109744983861
2022.0,2023.0,-2.285695077304617,1.253979740030902
2023.0,2024.0,-2.6138630748317206,1.2560228285507078
