start_dates,end_dates,changes
1999.75,2000.75,-1.6000747798795147
2000.75,2001.75,-0.9077766258180493
2001.75,2002.75,0.4370917061794335
2002.75,2003.75,0.2714750339865649
2003.75,2004.75,0.6413060325795729
2004.75,2005.75,0.422831237681391
2005.75,2006.75,-0.931452830586761
2006.75,2007.75,-1.7673087450722167
2007.75,2008.75,-0.510506013062977
2008.75,2009.75,-0.3501910869836012
2009.75,2010.75,-1.004701020766637
2010.75,2011.75,-0.8283774175085823
2011.75,2012.75,-1.5758726207405833
2012.75,2013.75,-0.315069953150547
2013.75,2014.75,-1.3476293447835466
2014.75,2015.75,-1.3148849790289858
2015.75,2016.75,-1.0870923505533463
2016.75,2017.75,-1.0636039373338309
2017.75,2018.75,-0.41419815858852266
2018.75,2019.75,-0.9265719101147318
2019.75,2020.75,-1.7479835796873915
2020.75,2021.75,-0.2611007784974239
2021.75,2022.75,-1.0097696940693783
2022.75,2023.75,-0.5643222945592065
2023.75,2024.75,-0.9425401894928551
