start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,hydrological_correction_value
2002.290410958904,2002.372602739726,-4.909020423576207,19.03381705496818,51591,51276.254,0.0
2002.372602739726,2002.6246575342464,-12.286777610173845,16.505671685115434,51591,51276.254,0.0
2002.6246575342464,2002.7068493150684,0.3515742285122537,28.402813471211218,51591,51276.254,0.0
2002.7068493150684,2002.7890410958903,-21.39454690022025,33.460427704151925,51591,51276.254,0.0
2002.7890410958903,2002.87397260274,37.31568999816047,17.15590269213988,51591,51276.254,0.0
2002.87397260274,2002.9561643835616,-35.58593487784885,45.56477610957907,51591,51276.254,0.0
2002.9561643835616,2003.041095890411,49.73324035525367,109.09762615904378,51591,51276.254,0.0
2003.041095890411,2003.123287671233,19.498085418907102,16.914188966386654,51591,51276.254,0.0
2003.123287671233,2003.208219178082,-13.322993589407124,55.83291673784824,51591,51276.254,0.0
2003.208219178082,2003.290410958904,-28.062678435956027,114.0054007502846,51591,51276.254,0.0
2003.290410958904,2003.372602739726,-24.216850233093933,20.13231405653502,51591,51276.254,0.0
2003.372602739726,2003.539726027397,-8.249832523952499,28.837245029339847,51591,51276.254,0.0
2003.539726027397,2003.6246575342464,-7.57877482665817,30.49168594063886,51591,51276.254,0.0
2003.6246575342464,2003.7068493150684,-7.975195265823705,78.47195746484427,51591,51276.254,0.0
2003.7068493150684,2003.7890410958903,16.544199162211257,42.11553347776826,51591,51276.254,0.0
2003.7890410958903,2003.87397260274,21.49764947090096,46.33368642950788,51591,51276.254,0.0
2003.87397260274,2003.9561643835616,2.5091183325853508,149.65366244211708,51591,51276.254,0.0
2003.9561643835616,2004.040983606557,11.154289469446818,21.39823783112381,51591,51276.254,0.0
2004.040983606557,2004.122950819672,-22.51804249604812,65.80724329371351,51591,51276.254,0.0
2004.122950819672,2004.207650273224,17.150630833171093,47.75596018207746,51591,51276.254,0.0
2004.207650273224,2004.2896174863388,-1.0798360501210378,11.484661177641556,51591,51276.254,0.0
2004.2896174863388,2004.3743169398904,-16.833084344098204,15.262302805730828,51591,51276.254,0.0
2004.3743169398904,2004.4562841530053,-6.658395561451136,37.09912604717647,51591,51276.254,0.0
2004.4562841530053,2004.8743169398904,-20.58314912435716,64.25029361780005,51591,51276.254,0.0
2004.8743169398904,2004.9562841530053,-14.999335360661172,24.246828417787903,51591,51276.254,0.0
2004.9562841530053,2005.041095890411,12.687604446358725,48.25576235937077,51591,51276.254,0.0
2005.041095890411,2005.123287671233,-15.007002867476997,32.88394853593777,51591,51276.254,0.0
2005.123287671233,2005.208219178082,17.700897797430706,12.53079847370814,51591,51276.254,0.0
2005.208219178082,2005.290410958904,-0.0835992689476058,16.181982382446417,51591,51276.254,0.0
2005.290410958904,2005.372602739726,-19.28609554468268,19.37941334321463,51591,51276.254,0.0
2005.372602739726,2005.4575342465755,14.73172934072617,15.32817593145645,51591,51276.254,0.0
2005.4575342465755,2005.539726027397,-24.564225404624786,15.974888909657317,51591,51276.254,0.0
2005.539726027397,2005.6246575342464,-25.532351215838723,17.70273815469497,51591,51276.254,0.0
2005.6246575342464,2005.7068493150684,16.8086896180382,106.04687702082578,51591,51276.254,0.0
2005.7068493150684,2005.7890410958903,30.483694081312933,41.36878057410234,51591,51276.254,0.0
2005.7890410958903,2005.87397260274,13.363028024135668,27.187760807507875,51591,51276.254,0.0
2005.87397260274,2005.9561643835616,-29.216677535124973,69.72061103470726,51591,51276.254,0.0
2005.9561643835616,2006.041095890411,45.17888369121475,49.12133233406932,51591,51276.254,0.0
2006.041095890411,2006.123287671233,-45.12208162819286,149.46616225102926,51591,51276.254,0.0
2006.123287671233,2006.208219178082,9.020520550325124,29.5460932107466,51591,51276.254,0.0
2006.208219178082,2006.290410958904,-16.975793840302874,151.8948801026312,51591,51276.254,0.0
2006.290410958904,2006.372602739726,16.0789658231101,118.88584232318992,51591,51276.254,0.0
2006.372602739726,2006.4575342465755,-16.15692641383795,12.220191255195912,51591,51276.254,0.0
2006.4575342465755,2006.539726027397,7.824247049031557,16.76345865080479,51591,51276.254,0.0
2006.539726027397,2006.6246575342464,-14.97013451798144,16.712626006693238,51591,51276.254,0.0
2006.6246575342464,2006.7068493150684,6.428847982696237,66.2236248542436,51591,51276.254,0.0
2006.7068493150684,2006.7890410958903,3.973896311275559,59.42186633554631,51591,51276.254,0.0
2006.7890410958903,2006.87397260274,20.07350306245893,14.75883813909867,51591,51276.254,0.0
2006.87397260274,2006.9561643835616,7.371406119057767,35.52088576034626,51591,51276.254,0.0
2006.9561643835616,2007.041095890411,1.29532135586889,51.96547656213512,51591,51276.254,0.0
2007.041095890411,2007.123287671233,-34.20206874929745,79.1653766220536,51591,51276.254,0.0
2007.123287671233,2007.208219178082,-7.50817029351587,67.4301760772178,51591,51276.254,0.0
2007.208219178082,2007.290410958904,13.309546051564828,20.850917113861712,51591,51276.254,0.0
2007.290410958904,2007.372602739726,6.821365789526031,71.93299146587847,51591,51276.254,0.0
2007.372602739726,2007.4575342465755,-6.989351988843976,12.14919931078986,51591,51276.254,0.0
2007.4575342465755,2007.539726027397,-16.5685182589397,19.09091122766393,51591,51276.254,0.0
2007.539726027397,2007.6246575342464,-19.772241759467367,25.262597066238808,51591,51276.254,0.0
2007.6246575342464,2007.7068493150684,-16.893981347487763,15.859141907582858,51591,51276.254,0.0
2007.7068493150684,2007.7890410958903,35.05032502673375,54.68838527967111,51591,51276.254,0.0
2007.7890410958903,2007.87397260274,10.892852791471771,75.91316277419304,51591,51276.254,0.0
