,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_gt,altimetry_gt_errors,gravimetry_gt,gravimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_annual_variability,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,1999.75,2000.75,33537.7888,south_asia_west,10.38574134051786,8.445206287895223,0.3106046251167957,0.2518645651626541,0.2576386171326933,0.2267805650904974,8.614707639535968,7.601945102322318,,,,,,0.363570633100898,0.3300942461562198,12.156775041499747,11.064071206429727
1,2000.75,2001.75,33416.944,south_asia_west,-5.558469733230982,7.156086235437798,-0.1668373780435621,0.2136619370672562,-0.2019967671040594,0.2267805650904974,-6.729864310533904,7.59718790431901,,,,,,-0.1316779889830648,0.1944861640643887,-4.387075155928056,6.512621132333815
2,2001.75,2002.75,33296.0992,south_asia_west,0.6401783530036586,6.997226446971522,0.0192846814621657,0.2090743522856113,-0.0160023150190571,0.2267805650904974,-0.5312162242992625,7.589778774518266,,,,,,0.0545716779433887,0.1733998666139723,1.811572930306581,5.803931509992472
3,2002.75,2003.75,33175.2544,south_asia_west,-15.29233208768566,7.282778287585048,-0.4623430145895996,0.2164061487186875,-0.4977585481418864,0.2267805650904974,-16.463726664988585,7.634243388095786,,,,,,-0.4269274810373127,0.2062659919137679,-14.120937510382733,6.939177854186702
4,2003.75,2004.75,33054.4096,south_asia_west,-13.611616590539391,6.819776645760273,-0.4130333737220897,0.2027571133439809,-0.3766944038688881,0.1600937966891987,-12.414056886151522,5.393740250149926,,,,,,-0.4493723435752912,0.2132143607215291,-14.809176294927257,7.174023254401291
5,2004.75,2005.75,32933.5648,south_asia_west,10.72725689595719,6.298025367198201,0.3267042474085461,0.1875007916480561,0.3488448034923244,0.1600937966891987,11.454236832134857,5.388428408977192,,,,,,0.3045636913247678,0.1471215927256961,10.000276959779523,4.949085270507535
6,2005.75,2006.75,32812.72,south_asia_west,-26.948012803072636,6.569856570104889,-0.823738480180332,0.192133964548993,-0.8015163834296467,0.1600937966891987,-26.221032866894966,5.515978451432968,,,,,,-0.8459605769310174,0.1693529359202535,-27.674992739250307,5.8342564215719985
7,2006.75,2007.75,32691.8752,south_asia_west,-17.594002959723177,6.3161223736119405,-0.539796009960801,0.1868857494507715,-0.5174917697166334,0.1600937966891987,-16.86702302354551,5.42387343411956,,,,,,-0.5621002502049686,0.1439573164610288,-18.32098289590084,4.904175920191069
8,2007.75,2008.75,32571.0304,south_asia_west,-22.11236480863932,6.41745631302779,-0.680939510994987,0.1888858703881206,-0.6585525177209531,0.1600937966891987,-21.385384872461646,5.463560979847681,,,,,,-0.7033265042690207,0.1540456545984542,-22.839344744816987,5.280452819911691
9,2008.75,2009.75,32450.1856,south_asia_west,15.822348791579795,6.860778860914097,0.4890560215342048,0.2036320559081164,0.4383039207269452,0.2267805650904974,14.180374446066669,7.622777965939467,,,,,,0.5398081223414644,0.1452006590226665,17.464323137092922,4.937305795791409
10,2009.75,2010.75,32329.340799999998,south_asia_west,10.325027926555457,6.874622831432219,0.3203311901491371,0.204833142686177,0.3066157273851299,0.2267805650904974,9.882946292237936,7.605801597331719,,,,,,0.3340466529131443,0.1518079048598421,10.76710956087297,5.109043341528756
11,2010.75,2011.75,32208.496,south_asia_west,3.7249898093609017,6.7693488013931855,0.1160003995397557,0.202191002066895,0.1022334769884109,0.2267805650904974,3.2829081750433824,7.59150710232494,,,,,,0.1297673220911005,0.1369086552209621,4.167071443678417,4.586697228274555
12,2011.75,2012.75,32087.6512,south_asia_west,-4.56554252757665,6.219688132836932,-0.1427116101499725,0.1857185465011369,0.0363987887771597,0.1597307211585321,1.1644477834688232,5.346072375551899,,,,,,-0.3218220090771048,0.1382035096734965,-10.295532838622124,4.653855865806238
13,2012.75,2013.75,31966.8064,south_asia_west,-13.385802025121812,6.568978618817733,-0.4200006750101746,0.1952590930786707,-0.5809062728752797,0.1975786838707942,-18.51400920646499,6.6769062010626055,,,,,,-0.2590950771450694,0.1418298865169886,-8.25759484377863,4.764585748908844
14,2013.75,2014.75,31845.9616,south_asia_west,-1.865369399032271,6.212105574067136,-0.0587510080421149,0.1855962719194603,0.0680781299393721,0.1587900013096,2.1615094713135066,5.315370818613214,,,,,,-0.1855801460236019,0.1386298647320386,-5.892248269378048,4.648911248843885
15,2014.75,2015.75,31725.1168,south_asia_west,-1.0298054748840433,6.228910213392243,-0.032557931747201,0.1861129561159514,0.0528137674343855,0.1584463127142705,1.6704963716824048,5.303427413670216,,,,,,-0.1179296309287877,0.141758580107311,-3.7301073214504927,4.747940863261957
16,2015.75,2016.75,31604.272,south_asia_west,-11.50718904858852,6.726550177661438,-0.3651979229916991,0.2002521550745277,-0.6960753856231016,0.2105665378001599,-21.93295895227818,7.131910789828296,,,,,,-0.0343204603602966,0.1507117610431971,-1.081419144898856,5.044204930522065
17,2016.75,2017.75,31483.4272,south_asia_west,-2.5142471767577974,6.420048822630218,-0.0800996854180348,0.191793741096978,0.1379127889176991,0.1615392390668789,4.328941348089828,5.410612655590237,,,,,,-0.2981121597537688,0.1664122292606807,-9.35743570160542,5.58898528500062
18,2017.75,2018.75,31362.5824,south_asia_west,-4.83968449536793,6.454837206061876,-0.1547783015814146,0.1927344163040458,-0.2164349662999118,0.1698864596156659,-6.76759558642774,5.695700832933454,,,,,,-0.0931216368629175,0.1623989256781481,-2.911773404308119,5.437002506705856
