start_dates,end_dates,changes,errors
1999.75,2000.75,2.1966534441288874,41.56484177400992
2000.75,2001.75,-20.776317859710943,41.20426197018156
2001.75,2002.75,-9.475922560539395,41.20565062986528
2002.75,2003.75,-36.57441180864932,30.317389908242042
2003.75,2004.75,-41.91670072889182,30.58286323783852
2004.75,2005.75,-13.084231258653723,30.128467223199685
2005.75,2006.75,-16.86185997550599,29.974139532265923
2006.75,2007.75,60.98633593908345,29.831135231524378
2007.75,2008.75,-7.1551946480206885,29.864907119187748
2008.75,2009.75,-32.66783534904211,30.167365579839036
2009.75,2010.75,12.88853175110982,30.408789888882726
2010.75,2011.75,47.1260175247568,30.112837491015227
2011.75,2012.75,-11.209266249440024,31.68338315225991
2012.75,2013.75,-27.560368578737204,24.360215885027454
2013.75,2014.75,-37.34097333496792,24.199376649606453
2014.75,2015.75,-39.00998274363983,24.831128554732928
2015.75,2016.75,-39.165123671624904,24.145101556800288
2016.75,2017.75,-7.611323268840369,23.860961625691917
2017.75,2018.75,-11.677063235470259,23.864745411078164
2018.75,2019.75,-47.72927409887624,24.320166576247644
2019.75,2020.75,-11.44780679875974,24.271595359887257
2020.75,2021.75,-12.1780739413067,24.40691595523376
2021.75,2022.75,-13.989549969909538,24.61894173049442
2022.75,2023.75,-45.84422944040628,41.744903100456824
2023.75,2024.75,-26.37680443359153,41.691206497952386
