start_dates,end_dates,changes
1999.75,2000.75,0.030378706028205388
2000.75,2001.75,-1.4383012315773527
2001.75,2002.75,-2.037134598714953
2002.75,2003.75,-1.6783798837349235
2003.75,2004.75,-0.5181106164543604
2004.75,2005.75,-0.40652899714562357
2005.75,2006.75,-1.414581540570362
2006.75,2007.75,-1.5531636800944568
2007.75,2008.75,-1.975294977199855
2008.75,2009.75,0.18071102143736129
2009.75,2010.75,-0.7128492794857485
2010.75,2011.75,-2.020681211168608
2011.75,2012.75,-2.2328195726008357
2012.75,2013.75,-0.7607481680191848
2013.75,2014.75,-0.7551486077306186
2014.75,2015.75,-2.4055814738482315
2015.75,2016.75,-0.5744282664867703
2016.75,2017.75,-2.379575790532689
2017.75,2018.75,-1.5651696421082892
2018.75,2019.75,-0.8454620159593919
2019.75,2020.75,-1.250494255974816
2020.75,2021.75,-1.0124309287207094
2021.75,2022.75,-2.3302046092985456
2022.75,2023.75,-2.0472049224014337
2023.75,2024.75,-1.6202787528580396
