start_dates,end_dates,changes
2000.0,2001.0,0.8445266836084478
2001.0,2002.0,-2.1991190686074744
2002.0,2003.0,-4.026071661226791
2003.0,2004.0,-4.215089346015239
2004.0,2005.0,-0.6708575916169709
2005.0,2006.0,-1.028301421986082
2006.0,2007.0,-5.233164247312704
2007.0,2008.0,0.21744911419980742
2008.0,2009.0,0.2234919590341321
2009.0,2010.0,-1.8508928148631276
2010.0,2011.0,-2.7932180431987925
2011.0,2012.0,-3.1497490108565325
2012.0,2013.0,1.616198486336387
2013.0,2014.0,-3.2996106704306336
2014.0,2015.0,-2.818199598557766
2015.0,2016.0,1.7778450224721014
2016.0,2017.0,-1.1893070315883585
2017.0,2018.0,-0.0301437619599587
2018.0,2019.0,-4.212927232509297
2019.0,2020.0,-1.4351922971850946
2020.0,2021.0,0.4944919959301292
2021.0,2022.0,-2.4255083424878463
2022.0,2023.0,-1.4723308948231675
2023.0,2024.0,-3.1568268459350413
