start_dates,end_dates,changes
1999.75,2000.75,0.6682044597716403
2000.75,2001.75,-1.0028825335599594
2001.75,2002.75,-1.246666233079419
2002.75,2003.75,-1.5238546661721688
2003.75,2004.75,-0.3945328554082492
2004.75,2005.75,-0.04045676539622389
2005.75,2006.75,-2.0904493484262474
2006.75,2007.75,0.10334748856563103
2007.75,2008.75,0.13151000436825355
2008.75,2009.75,-0.46160660057251157
2009.75,2010.75,-1.1309381441195812
2010.75,2011.75,-1.1749435729415298
2011.75,2012.75,0.6745294181323722
2012.75,2013.75,-1.2733284514701755
2013.75,2014.75,-0.995898831873936
2014.75,2015.75,0.703079390933322
2015.75,2016.75,-0.47665364393046483
2016.75,2017.75,0.20740018187712905
2017.75,2018.75,-1.5962693464203253
2018.75,2019.75,-0.7868776575027157
2019.75,2020.75,0.46362819150975154
2020.75,2021.75,-0.9723466651329288
2021.75,2022.75,-0.40790986804307466
2022.75,2023.75,-1.22583676115094
2023.75,2024.75,-0.5600182013885375
