start_dates,end_dates,changes,errors
2000.25,2001.25,15.66430800596202,39.09741588252718
2001.25,2002.25,-29.721484020051484,38.87177551939485
2002.25,2003.25,-1.0650680602089502,30.803996757616083
2003.25,2004.25,-38.42587507092187,30.12771863154368
2004.25,2005.25,-41.82050077745045,30.149912413661287
2005.25,2006.25,2.7853589187576224,30.064317834485347
2006.25,2007.25,-21.84719253323307,30.07355587400095
2007.25,2008.25,-41.32394458050824,30.10513078238295
2008.25,2009.25,-23.75716305828733,30.090979086589897
2009.25,2010.25,19.914257871269925,30.083380290721276
2010.25,2011.25,-43.40324045397507,30.120447913233683
2011.25,2012.25,-69.04085851032558,25.412814333712337
2012.25,2013.25,-9.133276686086893,24.3296700731622
2013.25,2014.25,-1.6098549725852151,24.30106316573042
2014.25,2015.25,-1.9733532635951168,24.33896252123725
2015.25,2016.25,-57.363021645729745,24.547557293532485
2016.25,2017.25,-57.48715659950248,25.519138333131814
2017.25,2018.25,-29.939187998766023,22.659190641418093
2018.25,2019.25,-36.84026193082498,22.85118872959027
2019.25,2020.25,-18.529045179667513,26.0485291469188
2020.25,2021.25,-38.749168900796505,33.69444084160687
2021.25,2022.25,-28.92725813185322,41.02439068066281
2022.25,2023.25,-35.63580513659081,45.126069147332274
2023.25,2024.25,-33.404231092906755,45.066108251890206
