,start_dates,end_dates,glacier_area,region,combined_gt,combined_mwe
0,2000.0,2001.0,2354.92895,low_latitudes,0.3705258618555617,0.1578140114198291
1,2001.0,2002.0,2327.07105,low_latitudes,-0.3070070498935514,-0.1323255009428327
2,2002.0,2003.0,2299.21315,low_latitudes,-1.2859863528499786,-0.5609988445881209
3,2003.0,2004.0,2271.35525,low_latitudes,-1.5816633780124076,-0.6984476100558282
4,2004.0,2005.0,2243.49735,low_latitudes,-2.4619022051780592,-1.100652129401808
5,2005.0,2006.0,2215.63945,low_latitudes,-2.7695048944302068,-1.2537411760109185
6,2006.0,2007.0,2187.78155,low_latitudes,-0.6472329547886849,-0.2967300351707955
7,2007.0,2008.0,2159.92365,low_latitudes,0.2943631715954311,0.1366941458094977
8,2008.0,2009.0,2132.06575,low_latitudes,1.0742074293211157,0.5053501509354559
9,2009.0,2010.0,2104.2078500000002,low_latitudes,-1.8409386137271275,-0.8775169467553976
10,2010.0,2011.0,2076.34995,low_latitudes,-1.8410246444614369,-0.8893319440077325
11,2011.0,2012.0,2048.49205,low_latitudes,-0.1241596044782536,-0.0607926225979374
12,2012.0,2013.0,2020.6341499999999,low_latitudes,-0.0184015312558621,-0.0091342126241642
13,2013.0,2014.0,1992.77625,low_latitudes,-0.5516197398382917,-0.2776425996516236
14,2014.0,2015.0,1964.91835,low_latitudes,-0.2397954780922521,-0.1224056099734584
15,2015.0,2016.0,1937.06045,low_latitudes,-1.6897583338338864,-0.8749561029038354
16,2016.0,2017.0,1909.20255,low_latitudes,-2.36942463411635,-1.244788981141562
17,2017.0,2018.0,1881.34465,low_latitudes,-0.645752244686762,-0.3442725556313131
18,2018.0,2019.0,1853.48675,low_latitudes,-0.1008118792306184,-0.0545540586709532
19,2019.0,2020.0,1825.62885,low_latitudes,-0.9009579941945178,-0.4949905350137911
20,2020.0,2021.0,1797.77095,low_latitudes,-0.5626949301551217,-0.3139377096055741
21,2021.0,2022.0,1769.91305,low_latitudes,0.0949249570660992,0.0537939357148629
22,2022.0,2023.0,1742.0551500000001,low_latitudes,0.0057083128047792,0.0032866291704927
23,2023.0,2024.0,1714.1972500000002,low_latitudes,-2.3020962323277,-1.3469997704373884
