start_dates,end_dates,changes,errors
1999.75,2000.75,0.9470246360118661,
2000.75,2001.75,-0.6407873187038655,
2001.75,2002.75,0.13709604815568222,
2002.75,2003.75,-0.829270811976683,
2003.75,2004.75,-1.1222879005733646,
2004.75,2005.75,-1.5880644884756863,
2005.75,2006.75,-0.8425885487154862,
2006.75,2007.75,0.2018655735763144,
2007.75,2008.75,0.32356749229421533,
2008.75,2009.75,-0.8586743638803723,
2009.75,2010.75,0.23945702195653507,
2010.75,2011.75,0.8589977789020553,
2011.75,2012.75,0.4625173220216605,
2012.75,2013.75,-1.3617637121402368,0.2893223325851978
2013.75,2014.75,-1.1250140349257496,0.31771604122299796
2014.75,2015.75,-2.203943386353454,0.3653366308748669
2015.75,2016.75,-0.8071198820722998,0.10606318628524507
2016.75,2017.75,-0.25226587787526733,0.11811110389984188
2017.75,2018.75,-0.5633835748054983,0.11526589515767083
2018.75,2019.75,-1.4027654661711972,0.113969339635847
2019.75,2020.75,-0.5753276794692168,0.1173109300671078
2020.75,2021.75,-1.6931702251772631,0.11944215117215048
2021.75,2022.75,-0.7771544286204259,
2022.75,2023.75,-2.802338961631453,
2023.75,2024.75,-1.2871408450402817,
