start_dates,end_dates,changes,errors
2000.0,2001.0,-0.11771895671100341,0.42526807422261426
2001.0,2002.0,-0.21369704788178148,0.41335152441208944
2002.0,2003.0,-0.0957852680902384,0.4193776803482098
2003.0,2004.0,-0.2328680920151212,0.2965505724897541
2004.0,2005.0,0.07633826634366064,0.29437971795897133
2005.0,2006.0,-0.010845560921916686,0.3133261398762149
2006.0,2007.0,-0.666716729874321,0.30664116005367054
2007.0,2008.0,-0.10190525031037184,0.29724506937911954
2008.0,2009.0,-0.08943140136315021,0.3026361938874999
2009.0,2010.0,-0.15342177942835333,0.29702611705830395
2010.0,2011.0,0.45742825113526764,0.3000039672286784
2011.0,2012.0,-0.18668339069565443,0.2985422013012537
2012.0,2013.0,-0.06070146887098604,0.2948646243666826
2013.0,2014.0,-0.4122215125055794,0.29675380123874245
2014.0,2015.0,0.17246078056307712,0.2906437499911256
2015.0,2016.0,0.0027930558749483803,0.2919239810586225
2016.0,2017.0,0.23922166071255632,0.2976691318206848
2017.0,2018.0,-0.4273470890990088,0.30372788119098426
2018.0,2019.0,-0.23969059299236,0.2912764919854021
2019.0,2020.0,0.35947399176485817,0.30659099374562393
2020.0,2021.0,-0.6091305711753667,0.316010781951825
2021.0,2022.0,-0.21020477305592036,0.3212526268322842
2022.0,2023.0,-0.3482578182187294,0.3444796882231157
2023.0,2024.0,-0.48289158061097104,0.48674551417735457
