,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
0,2000.0,2001.0,704082.69565,global,-80.12463785405846,127.48081614466872,-0.1141424658719151,0.1812779104798543
1,2001.0,2002.0,701805.49875,global,-217.24066851273176,113.52415347457466,-0.3104768371800023,0.161170242389818
2,2002.0,2003.0,699528.3018499999,global,-115.33333840207328,110.6572875556964,-0.1653691197836635,0.1568892562345352
3,2003.0,2004.0,697251.10495,global,-170.07759183631592,88.55191742777404,-0.2446598631468602,0.1253310146995384
4,2004.0,2005.0,694973.90805,global,-200.5958499981192,88.75159528730478,-0.2895064778873301,0.1252353344169609
5,2005.0,2006.0,692696.7111499999,global,-281.6993952905432,89.70770380153446,-0.4078942946483231,0.1263904500068715
6,2006.0,2007.0,690419.51425,global,-293.5821418307356,88.57774741160658,-0.42650234005328,0.1247340374815073
7,2007.0,2008.0,688142.3173500001,global,-279.8120980099741,87.75556661428557,-0.4078430480359495,0.1234057529957297
8,2008.0,2009.0,685865.12045,global,-176.23980050618405,87.73175855449304,-0.2577330521236016,0.1232456197134383
9,2009.0,2010.0,683587.9235500001,global,-247.9639799296532,87.36554255867753,-0.3638304623183457,0.1224457624765743
10,2010.0,2011.0,681310.7266500001,global,-172.85357657343442,88.1478037896094,-0.2544708176237164,0.1233303924440613
11,2011.0,2012.0,679033.52975,global,-363.82735916003406,88.38303477101911,-0.5374140002644603,0.1231888185709512
12,2012.0,2013.0,676756.33285,global,-131.47325566866394,88.06338429422098,-0.1948542715516166,0.1226766219125325
13,2013.0,2014.0,674479.1359499999,global,-360.5955475064807,86.21705386432055,-0.5362368826500151,0.119727060938685
14,2014.0,2015.0,672201.9390499999,global,-194.40803688625303,85.89546084722497,-0.2900810078138605,0.1193415222436281
15,2015.0,2016.0,669924.7421500002,global,-255.6789132817549,86.66264906099586,-0.3828015923593137,0.1203272314946019
16,2016.0,2017.0,667647.54525,global,-352.44630918961224,87.71946382060965,-0.5294812093501785,0.1215166072852338
17,2017.0,2018.0,665370.3483499999,global,-216.8868440955743,81.25878276178311,-0.3269449307779983,0.1124973712137011
18,2018.0,2019.0,663093.15145,global,-244.24722951628112,81.30894036503348,-0.3694536363536655,0.1123289504899297
19,2019.0,2020.0,660815.95455,global,-418.8888294880268,88.9486942838409,-0.6358037732398553,0.1223893649112873
20,2020.0,2021.0,658538.75765,global,-447.7852491463771,93.10977927874715,-0.6820139921458428,0.1286753882159244
21,2021.0,2022.0,656261.56075,global,-211.0693821129869,104.27767668785474,-0.3225916437309576,0.1439960871973306
22,2022.0,2023.0,653984.36385,global,-483.4295894767106,130.87981658857714,-0.7414309408696126,0.1798285456656236
23,2023.0,2024.0,651707.1669500001,global,-546.6491261171542,142.1346753378504,-0.8413195925212907,0.1959853127466088
