start_dates,end_dates,changes,errors
2000.0,2001.0,-11.937378127651394,9.172590250489714
2001.0,2002.0,-7.796496440377596,8.318547841489574
2002.0,2003.0,-6.410712791851737,8.319941184421495
2003.0,2004.0,-13.210072261815066,6.0682333155303665
2004.0,2005.0,-15.976387130129286,5.981427845680106
2005.0,2006.0,-15.440306029644,5.991158038596588
2006.0,2007.0,-6.907639758152131,5.982315024640395
2007.0,2008.0,-10.323549916012208,5.975472503258817
2008.0,2009.0,-11.504361665101204,6.026602509207764
2009.0,2010.0,-2.947338561610478,5.986518358826063
2010.0,2011.0,-30.72518931308182,6.120466931506565
2011.0,2012.0,-8.322423438612443,5.09083198698167
2012.0,2013.0,-6.943514796771128,5.0570077729912235
2013.0,2014.0,-2.0287888604383797,4.968087013237234
2014.0,2015.0,-3.4907814407861504,5.055082984227076
2015.0,2016.0,6.853095883321028,5.059604512905843
2016.0,2017.0,-8.979048127980256,5.08082861069224
2017.0,2018.0,-2.175712727806961,4.9768597177293525
2018.0,2019.0,-1.354858713744979,5.068470045469215
2019.0,2020.0,-10.170875483010589,5.12468506455889
2020.0,2021.0,-9.305526705403727,6.004121773697278
2021.0,2022.0,-12.679773475758859,6.112041963293382
2022.0,2023.0,1.957214062418873,6.590085779244424
2023.0,2024.0,-10.277547304384244,9.231280321979765
