start_dates,end_dates,changes,errors
1999.75,2000.75,13.768861010322821,
2000.75,2001.75,-9.266348151051442,
2001.75,2002.75,1.9718092905856697,
2002.75,2003.75,-11.862296700463137,
2003.75,2004.75,-15.966000419125123,
2004.75,2005.75,-22.46809864725448,
2005.75,2006.75,-11.855143249542062,
2006.75,2007.75,2.824445282095568,
2007.75,2008.75,4.501962530703674,
2008.75,2009.75,-11.88003883557856,
2009.75,2010.75,3.294241529267501,
2010.75,2011.75,11.750175908204477,
2011.75,2012.75,6.290578766885006,
2012.75,2013.75,-18.414514736931903,4.2894918144167775
2013.75,2014.75,-15.125086239176394,4.662406268424453
2014.75,2015.75,-29.4582578731366,5.4914491793082405
2015.75,2016.75,-10.72498054539078,1.6267662850084463
2016.75,2017.75,-3.3323743373341546,1.7183962335876484
2017.75,2018.75,-7.398114303964041,1.7095974276525523
2018.75,2019.75,-18.31083323468459,1.8872701278120327
2019.75,2020.75,-7.464984520461069,1.7392351946683307
2020.75,2021.75,-21.836804877505926,2.0453702615936877
2021.75,2022.75,-9.962186324626638,
2022.75,2023.75,-35.70349259750431,
2023.75,2024.75,-16.298305448223985,
