,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
0,2000.0,2001.0,14907.1245,south_asia_east,-3.751166706191604,6.7420351710696425,-0.2523930130453257,0.4587827416263758
1,2001.0,2002.0,14837.8747,south_asia_east,-7.175775797601203,6.59660453061214,-0.485067305582862,0.4483955502369499
2,2002.0,2003.0,14768.6249,south_asia_east,-6.606557279441531,6.598126657105573,-0.4486833834617302,0.448600635698147
3,2003.0,2004.0,14699.3751,south_asia_east,-7.192480037064313,6.62367072506626,-0.4907774891925265,0.4502376989684045
4,2004.0,2005.0,14630.1253,south_asia_east,-8.019378435642958,5.062283060244464,-0.5497908457783713,0.3435294533070234
5,2005.0,2006.0,14560.8755,south_asia_east,-6.373332930891497,5.006013606282125,-0.4390196497647639,0.3400904945090213
6,2006.0,2007.0,14491.6257,south_asia_east,-9.10877037748417,4.99680145410384,-0.6304454105674873,0.338738658254882
7,2007.0,2008.0,14422.375900000001,south_asia_east,-5.71959338508447,5.010225660090607,-0.3977710632596873,0.3405123240054134
8,2008.0,2009.0,14353.1261,south_asia_east,-5.884863873481361,4.995096854248879,-0.4112394433883012,0.3394480250114589
9,2009.0,2010.0,14283.8763,south_asia_east,-6.614970105980926,6.581424399263805,-0.4645009933453036,0.4474607674495983
10,2010.0,2011.0,14214.6265,south_asia_east,-5.944242554086991,6.5775444921043205,-0.4194362012191962,0.4473054132851137
11,2011.0,2012.0,14145.3767,south_asia_east,-2.7980751024760324,6.574247279098969,-0.1984036654347095,0.4474369555269236
12,2012.0,2013.0,14076.1269,south_asia_east,-9.838833486889948,4.656069375379458,-0.7010762884852827,0.3151852833115444
13,2013.0,2014.0,14006.8771,south_asia_east,-3.765781302954669,4.689221407818819,-0.2696612966552908,0.3189587523307793
14,2014.0,2015.0,13937.6273,south_asia_east,-7.222932719309933,4.67533737594237,-0.519791967709478,0.3173200961062725
15,2015.0,2016.0,13868.3775,south_asia_east,-6.542696574483152,4.6840451688702185,-0.4731904453610476,0.3180852192506962
16,2016.0,2017.0,13799.127700000001,south_asia_east,-3.335660512656436,4.689863926518238,-0.2424571812226111,0.3190579871987867
17,2017.0,2018.0,13729.8779,south_asia_east,-13.84922493313208,5.032899960082062,-1.0117276881253336,0.339353580595832
18,2018.0,2019.0,13660.6281,south_asia_east,-6.845606228519279,4.752666125607926,-0.5026273164590744,0.322695031584351
19,2019.0,2020.0,13591.3783,south_asia_east,-7.6074973396924,6.632614397176976,-0.5614138858314337,0.45076850781847
20,2020.0,2021.0,13522.1285,south_asia_east,-5.933405605062113,6.688266455703192,-0.4401126186022968,0.4548519686856585
21,2021.0,2022.0,13452.878700000001,south_asia_east,-4.220598842241363,6.137754336483128,-0.3146760505955303,0.4175772477746824
22,2022.0,2023.0,13383.6289,south_asia_east,-15.68621603537544,7.367754995727668,-1.17557176770107,0.4987060003259278
23,2023.0,2024.0,13314.3791,south_asia_east,-17.656637007008786,7.403988490791409,-1.330123333045742,0.5004266778793749
