start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
1998.74794520548,1998.8328767123287,0.0471,0.0575,49303.4,50109.2
1998.8328767123287,1998.9150684931508,0.0277,0.0374,49303.4,50109.2
1998.9150684931508,1999.0,0.039,0.0388,49303.4,50109.2
1999.0,1999.0849315068488,0.0284,0.0304,49303.4,50109.2
1999.0849315068488,1999.1616438356164,0.0464,0.0667,49303.4,50109.2
1999.1616438356164,1999.2465753424656,0.0925,0.1158,49303.4,50109.2
1999.2465753424656,1999.328767123288,0.085,0.0945,49303.4,50109.2
1999.328767123288,1999.4136986301369,0.1001,0.0771,49303.4,50109.2
1999.4136986301369,1999.495890410959,-0.0029,0.1918,49303.4,50109.2
1999.495890410959,1999.580821917808,-0.2814,0.1861,49303.4,50109.2
1999.580821917808,1999.6657534246576,-0.297,0.2398,49303.4,50109.2
1999.6657534246576,1999.74794520548,-0.06,0.1405,49303.4,50109.2
1999.74794520548,1999.8328767123287,0.0619,0.0728,49303.4,50089.1
1999.8328767123287,1999.9150684931508,0.0595,0.0902,49303.4,50089.1
1999.9150684931508,2000.0,0.0218,0.0213,49303.4,50089.1
2000.0,2000.084699453552,0.0406,0.0465,49303.4,50089.1
2000.084699453552,2000.1639344262296,0.0287,0.0308,49303.4,50089.1
2000.1639344262296,2000.2486338797808,0.0528,0.0591,49303.4,50089.1
2000.2486338797808,2000.330601092896,0.0794,0.0682,49303.4,50089.1
2000.330601092896,2000.415300546448,0.0911,0.0829,49303.4,50089.1
2000.415300546448,2000.4972677595629,0.0705,0.1655,49303.4,50089.1
2000.4972677595629,2000.5819672131147,-0.2746,0.1815,49303.4,50089.1
2000.5819672131147,2000.6666666666667,-0.2007,0.2263,49303.4,50089.1
2000.6666666666667,2000.7486338797808,0.0853,0.1111,49303.4,50089.1
2000.7486338797808,2000.8333333333333,0.0748,0.0817,49303.4,50003.0
2000.8333333333333,2000.915300546448,0.0477,0.0471,49303.4,50003.0
2000.915300546448,2001.0,0.0332,0.0449,49303.4,50003.0
2001.0,2001.0849315068488,0.0292,0.0367,49303.4,50003.0
2001.0849315068488,2001.1616438356164,0.0373,0.0464,49303.4,50003.0
2001.1616438356164,2001.2465753424656,0.0401,0.0417,49303.4,50003.0
2001.2465753424656,2001.328767123288,0.0792,0.0604,49303.4,50003.0
2001.328767123288,2001.4136986301369,0.0904,0.0758,49303.4,50003.0
2001.4136986301369,2001.495890410959,-0.0507,0.1826,49303.4,50003.0
2001.495890410959,2001.580821917808,-0.3544,0.1528,49303.4,50003.0
2001.580821917808,2001.6657534246576,-0.3457,0.2104,49303.4,50003.0
2001.6657534246576,2001.74794520548,-0.031,0.1604,49303.4,50003.0
2001.74794520548,2001.8328767123287,0.0802,0.0891,49303.4,49799.5
2001.8328767123287,2001.9150684931508,0.0282,0.0374,49303.4,49799.5
2001.9150684931508,2002.0,0.0485,0.0616,49303.4,49799.5
2002.0,2002.0849315068488,0.0365,0.042,49303.4,49799.5
2002.0849315068488,2002.1616438356164,0.0425,0.0609,49303.4,49799.5
2002.1616438356164,2002.2465753424656,0.0653,0.0692,49303.4,49799.5
2002.2465753424656,2002.328767123288,0.1058,0.0991,49303.4,49799.5
2002.328767123288,2002.4136986301369,0.0972,0.0796,49303.4,49799.5
2002.4136986301369,2002.495890410959,-0.0163,0.164,49303.4,49799.5
2002.495890410959,2002.580821917808,-0.2439,0.2302,49303.4,49799.5
2002.580821917808,2002.6657534246576,-0.4408,0.2504,49303.4,49799.5
2002.6657534246576,2002.74794520548,0.0089,0.1377,49303.4,49799.5
2002.74794520548,2002.8328767123287,0.0441,0.0542,49303.4,49789.1
2002.8328767123287,2002.9150684931508,0.0309,0.0335,49303.4,49789.1
2002.9150684931508,2003.0,0.0506,0.0824,49303.4,49789.1
2003.0,2003.0849315068488,0.0296,0.0398,49303.4,49789.1
2003.0849315068488,2003.1616438356164,0.0668,0.0835,49303.4,49789.1
2003.1616438356164,2003.2465753424656,0.0724,0.0847,49303.4,49789.1
2003.2465753424656,2003.328767123288,0.1104,0.1068,49303.4,49789.1
2003.328767123288,2003.4136986301369,0.0905,0.0858,49303.4,49789.1
2003.4136986301369,2003.495890410959,0.0739,0.1649,49303.4,49789.1
2003.495890410959,2003.580821917808,-0.1682,0.2048,49303.4,49789.1
2003.580821917808,2003.6657534246576,-0.2493,0.2018,49303.4,49789.1
2003.6657534246576,2003.74794520548,0.0162,0.1602,49303.4,49789.1
2003.74794520548,2003.8328767123287,0.047,0.0617,49303.4,49813.7
2003.8328767123287,2003.9150684931508,0.0568,0.0692,49303.4,49813.7
2003.9150684931508,2004.0,0.0418,0.0582,49303.4,49813.7
2004.0,2004.084699453552,0.0425,0.0588,49303.4,49813.7
2004.084699453552,2004.1639344262296,0.0427,0.0559,49303.4,49813.7
2004.1639344262296,2004.2486338797808,0.0766,0.0853,49303.4,49813.7
2004.2486338797808,2004.330601092896,0.0814,0.0655,49303.4,49813.7
2004.330601092896,2004.415300546448,0.1034,0.0797,49303.4,49813.7
2004.415300546448,2004.4972677595629,-0.0104,0.1357,49303.4,49813.7
2004.4972677595629,2004.5819672131147,-0.2219,0.2143,49303.4,49813.7
2004.5819672131147,2004.6666666666667,-0.2656,0.2138,49303.4,49813.7
2004.6666666666667,2004.7486338797808,-0.0865,0.1584,49303.4,49813.7
2004.7486338797808,2004.8333333333333,0.0635,0.0563,49303.4,49755.2
2004.8333333333333,2004.915300546448,0.0417,0.0602,49303.4,49755.2
2004.915300546448,2005.0,0.058,0.0918,49303.4,49755.2
