Run,Relative Difference (%),Absolute Difference (Gt),Spearman Correlation
excluding_DUS-combined,0.621251327341776,756.236815746608,0.5895652173913043
excluding_ETH,0.10965531787593465,133.48122534402592,0.997391304347826
excluding_WGMS-beta,-0.009457255481726233,-11.512127952795709,0.9939130434782607
including_all,0.04133103591446871,50.31144339797447,0.9739130434782608
including_all_and_WGMS_and_UHZ,0.03420078258729253,41.63192862786582,0.9695652173913042
including_except_gravimetry,-0.03405201054528412,-41.45083139655617,0.9878260869565217
including_gravimetry,0.06536037529421762,79.56187763814887,0.9469565217391304
including_Harig_Group,0.000547085954281699,0.6659567904407595,0.9843478260869565
including_Jacob_2012_dmdt,0.3814349457204,464.31313072652756,0.9843478260869565
including_Sasgen_AWIarc_RL01_2,0.09714225282238126,118.24932151563644,0.9243478260869564
including_Treichler_ICESat,0.0198836474929248,24.203966420198412,0.9913043478260868
including_WGMS-mean_ba,-0.0037008959683179363,-4.505026644305872,0.9991304347826085
including_Wouters,0.03634823717070422,44.24598214316575,0.9347826086956521
squared_area_2012_2026,0.0003635830228667061,0.4425823420860979,0.9999999999999999
squared_area_2012_2026-02-13_14-08,0.0003635830228667061,0.4425823420860979,0.9999999999999999
squared_area_2023_2026-02-10_19-30,-0.0014315023945021214,-1.7425392347768138,0.9999999999999999
regression-proportional,0.0,0.0,0.9999999999999999
regression-seasonal_homogenization,0.021461687476169486,26.124882930993408,0.9956521739130434
start_vs_end-proportional,0.026272547830923174,31.9810470236298,0.997391304347826
start_vs_end-seasonal_homogenization,0.04773423530709266,58.105929954624116,0.9913043478260868
reference_rgi6,0.0,0.0,0.9999999999999999
2025-11-24_17-01,-0.00034401053221197757,-0.41875714064008207,0.9982608695652172
6,0.0,0.0,0.9999999999999999
