,start_dates,end_dates,glacier_area,region,combined_gt,combined_mwe
0,2000.0,2001.0,14563.2148,western_canada_us,0.0,0.0
1,2001.0,2002.0,14484.7852,western_canada_us,0.0,0.0
2,2002.0,2003.0,14406.3556,western_canada_us,0.0,0.0
3,2003.0,2004.0,14327.926,western_canada_us,0.0,0.0
4,2004.0,2005.0,14249.4964,western_canada_us,0.0,0.0
5,2005.0,2006.0,14171.0668,western_canada_us,0.0,0.0
6,2006.0,2007.0,14092.6372,western_canada_us,0.0,0.0
7,2007.0,2008.0,14014.2076,western_canada_us,0.0,0.0
8,2008.0,2009.0,13935.778,western_canada_us,0.0,0.0
9,2009.0,2010.0,13857.3484,western_canada_us,0.0,0.0
10,2010.0,2011.0,13778.9188,western_canada_us,0.0,0.0
11,2011.0,2012.0,13700.4892,western_canada_us,0.0,0.0
12,2012.0,2013.0,13622.0596,western_canada_us,0.0,0.0
13,2013.0,2014.0,13543.63,western_canada_us,0.0,0.0
14,2014.0,2015.0,13465.2004,western_canada_us,0.0,0.0
15,2015.0,2016.0,13386.7708,western_canada_us,0.0,0.0
16,2016.0,2017.0,13308.341199999999,western_canada_us,0.0,0.0
17,2017.0,2018.0,13229.9116,western_canada_us,0.0,0.0
18,2018.0,2019.0,13151.482,western_canada_us,0.0,0.0
19,2019.0,2020.0,13073.0524,western_canada_us,0.0,0.0
20,2020.0,2021.0,12994.6228,western_canada_us,0.0,0.0
21,2021.0,2022.0,12916.1932,western_canada_us,0.0,0.0
22,2022.0,2023.0,12837.7636,western_canada_us,0.0,0.0
23,2023.0,2024.0,12759.333999999999,western_canada_us,0.0,0.0
