,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_gt,altimetry_gt_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_annual_variability,gravimetry_gt,gravimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_annual_variability,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,2000.25,2001.25,979.59505,new_zealand,-0.0725410431423325,0.4289939402567034,-0.0742748966582155,0.3702834898904529,,,,,,,,,,,-0.0742748966582154,0.3702834898904529,-0.0725410431423324,0.4289939402567035
1,2001.25,2002.25,971.57725,new_zealand,-1.4685704546697758,0.4349625980254143,-1.5160806028945113,0.370060141355456,,,,,,,,,,,-1.5160806028945113,0.370060141355456,-1.4685704546697758,0.43496259802541426
2,2002.25,2003.25,963.55945,new_zealand,-1.1136788096896244,0.4349212805472691,-1.1592744997600175,0.372323409003454,,,,,,,,,,,-1.1592744997600175,0.372323409003454,-1.1136788096896244,0.4349212805472691
3,2003.25,2004.25,955.54165,new_zealand,-1.8707937980822216,0.4446183604310588,-1.9637271355822885,0.3751939759685232,,,,,,,,,,,-1.9637271355822885,0.3751939759685232,-1.8707937980822216,0.44461836043105885
4,2004.25,2005.25,947.52385,new_zealand,0.6997192156089128,0.3839452454398778,0.740693429171146,0.3300330619801676,,,,,,,,,,,0.7406934291711461,0.3300330619801676,0.6997192156089128,0.3839452454398778
5,2005.25,2006.25,939.50605,new_zealand,0.1761644137813647,0.3845669893117981,0.1880716971148661,0.3318614217945538,,,,,,,,,,,0.1880716971148662,0.3318614217945538,0.1761644137813648,0.38456698931179806
6,2006.25,2007.25,931.48825,new_zealand,0.3255819951035172,0.4374612724209402,0.3505805684011034,0.3773439709362321,,,,,,,,,,,0.3505805684011034,0.3773439709362321,0.32558199510351726,0.4374612724209402
7,2007.25,2008.25,923.47045,new_zealand,-1.918910293941533,0.3992124222863689,-2.084186177243116,0.3344899683663946,,,,,,,,,,,-2.084186177243116,0.3344899683663946,-1.918910293941533,0.3992124222863689
8,2008.25,2009.25,915.45265,new_zealand,-0.9992620618086296,0.3869215260252384,-1.0948341985944017,0.3311846920345573,,,,,,,,,,,-1.0948341985944017,0.3311846920345573,-0.9992620618086296,0.3869215260252384
9,2009.25,2010.25,907.43485,new_zealand,-0.142316516072642,0.3873858520013192,-0.1573057837966139,0.3343252578575433,,,,,,,,,,,-0.157305783796614,0.3343252578575433,-0.142316516072642,0.3873858520013191
10,2010.25,2011.25,899.41705,new_zealand,-2.1686679288497666,0.3855907599563874,-2.4184481597028875,0.3194008127802482,,,,,,,,,,,-2.4184481597028875,0.3194008127802482,-2.1686679288497666,0.3855907599563874
11,2011.25,2012.25,891.3992499999999,new_zealand,-0.8172764782343305,0.3820577425974918,-0.9196055362288008,0.3278908296695168,,,,,,,,,,,-0.9196055362288008,0.3278908296695168,-0.8172764782343303,0.3820577425974918
12,2012.25,2013.25,883.3814500000001,new_zealand,0.1889427313427415,0.3891843041216526,0.2145293690943543,0.3358350666438359,,,,,,,,,,,0.2145293690943544,0.3358350666438359,0.18894273134274156,0.3891843041216526
13,2013.25,2014.25,875.36365,new_zealand,0.1550299168438222,0.3940509535427622,0.1776363526884035,0.3400690066349779,,,,,,,,,,,0.1776363526884034,0.3400690066349779,0.15502991684382209,0.39405095354276215
14,2014.25,2015.25,867.3458499999999,new_zealand,0.1311891717802236,0.4090924056406016,0.1517087140624196,0.3530728282194109,,,,,,,,,,,0.1517087140624195,0.3530728282194109,0.13118917178022357,0.4090924056406015
15,2015.25,2016.25,859.32805,new_zealand,-1.329308928276383,0.4213470965578121,-1.5515714340302351,0.359142636953791,,,,,,,,,,,-1.5515714340302351,0.359142636953791,-1.329308928276383,0.4213470965578121
16,2016.25,2017.25,851.31025,new_zealand,0.1713085665001788,0.4169928868008749,0.201834805367405,0.3598617768275773,,,,,,,,,,,0.2018348053674051,0.3598617768275773,0.1713085665001789,0.4169928868008749
17,2017.25,2018.25,843.29245,new_zealand,-2.2563987119784423,0.4470109906504761,-2.683752566276229,0.3733572313921587,,,,,,,,,,,-2.683752566276229,0.3733572313921587,-2.2563987119784423,0.44701099065047617
18,2018.25,2019.25,835.2746500000001,new_zealand,-1.767062489196857,0.4623301791305221,-2.121912389034074,0.3917167536629646,,,,,,,,,,,-2.121912389034074,0.3917167536629646,-1.767062489196857,0.46233017913052216
19,2019.25,2020.25,827.25685,new_zealand,-1.3657822272405593,0.46425948221335,-1.6559450706868215,0.3963781257854462,,,,,,,,,,,-1.6559450706868215,0.3963781257854462,-1.3657822272405593,0.46425948221335006
20,2020.25,2021.25,819.23905,new_zealand,-0.4583548493330218,0.5053835602197574,-0.5611720431142585,0.435785553550051,,,,,,,,,,,-0.5611720431142585,0.435785553550051,-0.45835484933302184,0.5053835602197574
21,2021.25,2022.25,811.22125,new_zealand,-1.3967113496650432,0.6679706994504115,-1.7269198655001528,0.5734156468954652,,,,,,,,,,,-1.7269198655001528,0.5734156468954652,-1.3967113496650432,0.6679706994504115
22,2022.25,2023.25,803.20345,new_zealand,-1.3729018895743004,0.6726104387626923,-1.7144261376615355,0.5775488154505399,,,,,,,,,,,-1.7144261376615355,0.5775488154505399,-1.3729018895743004,0.6726104387626923
23,2023.25,2024.25,795.18565,new_zealand,-1.0284354612258888,0.6622889210715674,-1.2972191479813917,0.5699453314402194,,,,,,,,,,,-1.2972191479813917,0.5699453314402194,-1.0284354612258892,0.6622889210715676
