start_dates,end_dates,changes,errors
2000.0,2001.0,-1.1041212100809994,0.8566640159315508
2001.0,2002.0,-0.7246714586861738,0.7730553202764378
2002.0,2003.0,-0.5994115775264914,0.7701086171896044
2003.0,2004.0,-1.2183031291608994,0.5527307394847246
2004.0,2005.0,-1.4792931834149694,0.5412574561889452
2005.0,2006.0,-1.4396151725151611,0.5433310940817998
2006.0,2007.0,-0.6509014011447243,0.5452348690920388
2007.0,2008.0,-0.9746827548581686,0.5434019504489618
2008.0,2009.0,-1.0887053041476096,0.5475298497120037
2009.0,2010.0,-0.280868895633693,0.5462404690672424
2010.0,2011.0,-2.9043297899814586,0.5412528880435874
2011.0,2012.0,-0.7749417324149582,0.4624034401699129
2012.0,2013.0,-0.6430671071258935,0.4597236941098976
2013.0,2014.0,-0.1708560546550284,0.4522757964470055
2014.0,2015.0,-0.3175151491042013,0.4600838336764857
2015.0,2016.0,0.679515024259338,0.459595471659858
2016.0,2017.0,-0.8509529907071913,0.4606340106287974
2017.0,2018.0,-0.18972761360727497,0.4529536474959172
2018.0,2019.0,-0.11790133263444436,0.46067973126749595
2019.0,2020.0,-0.9838520907619328,0.4637047373708701
2020.0,2021.0,-0.8808829496200674,0.5478796056029558
2021.0,2022.0,-1.2246601452107546,0.556449195171952
2022.0,2023.0,0.3938797009611307,0.6233444699370032
