start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,remarks
1999.74794520548,2000.7486338797808,-1.1,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2000.7486338797808,2001.74794520548,-0.685,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2001.74794520548,2002.74794520548,0.345,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2002.74794520548,2003.74794520548,0.22,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2003.74794520548,2004.7486338797808,0.49,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2004.7486338797808,2005.74794520548,0.295,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2005.74794520548,2006.74794520548,-0.73,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2006.74794520548,2007.74794520548,-1.32,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2007.74794520548,2008.7486338797808,-0.415,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2008.7486338797808,2009.74794520548,-0.3,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2009.74794520548,2010.74794520548,-0.9205,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2010.74794520548,2011.74794520548,-0.769,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2011.74794520548,2012.7486338797808,-1.3095,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2012.7486338797808,2013.74794520548,-0.363,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2013.74794520548,2014.74794520548,-1.145,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2014.74794520548,2015.74794520548,-1.02,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2015.74794520548,2016.7486338797808,-0.855,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2016.7486338797808,2017.74794520548,-0.835,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2017.74794520548,2018.74794520548,-0.464,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2018.74794520548,2019.74794520548,-0.732,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2019.74794520548,2020.7486338797808,-1.3985,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2020.7486338797808,2021.74794520548,-0.336,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
2021.74794520548,2022.74520547945,-0.8715,0.01,1245.582118,0.4659999999999999,Assumed hydrological year: 1 Oct - 30 Sept
