Research team,Observation method,Sensor / Product,Alaska,Western Canada & USA,Arctic Canada North,Arctic Canada South,Greenland Periphery ,Iceland,Svalbard,Scandinavia,Russian Arctic,North Asia,Central Europe,Caucasus,Central Asia,South Asia West,South Asia East,Low Latitudes,Southern Andes,New Zealand,Antarctic & Subantarctic
Abdullahi et al.,DEM differencing,TanDEM-X,,,,,1,,,,,,,,,,,,,,
Andreassen et al.,DEM differencing,Airborne LiDAR,,,,,,,,1,,,,,,,,,,,
Bolch et al.,Altimetry,ICESat,,,,,1,,,,,,,,,,,,,,
Box et al.,Hybrid,In situ | GRACE,1,,1,1,,1,1,,1,,,,,,,,,,
Braun et al.,DEM differencing,TanDEM-X,,,,,,,,,,,,,,,,1,1,,
Brun et al.,DEM differencing,ASTER,,,,,,,,,,,,,1,1,1,,,,
Colgan et al.,Hybrid,GRACE | ICESat,,,1,1,-1,,,,,,,,,,,,,,
Dussaillant et al.,Hybrid,In situ | ASTER | SPOT-5/6/7 | SRTM | TanDEM-X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dussaillant et al.,DEM differencing,ASTER,,,,,,,,,,,,,,,,1,1,,
Foresta et al.,Altimetry,CryoSat-2,,,,,,1,,,,,,,,,,,,,
Gardner et al.,Altimetry,ICESat,,,1,1,1,,1,,1,,,,,,,,,,1
Harig et al.,Gravimetry,GRACE/-FO,1,-1,1,1,,1,1,,1,,,,-1,,,,-1,-1,
Hugonnet et al.,DEM differencing,ArcticDEM | ASTER | REMA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Huss et al.,Hybrid,In situ | ASTER | ArcticDEM | REMA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jacob et al.,Gravimetry,GRACE,1,-1,1,1,,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,
Jakob et al.,Altimetry,CryoSat-2,1,,1,1,1,1,1,,1,,,,1,1,1,,1,,1
Ke et al.,Hybrid,ICESat-2 | SRTM,,,,,,,,,,,,,1,1,1,,,,
Khan et al.,Altimetry,ICESat/-2,,,1,1,1,,,,,,,,,,,,,,1
King et al.,DEM differencing,HMA DEM | SRTM,,,,,,,,,,,,,,,1,,,,
Krieger et al.,DEM differencing,SRTM | TanDEM-X,,,,,,,,,,,,,,,,,1,,
Menounos et al.,Hybrid,ICESat-2 | COP30,,1,,,,,,,,,,,,,,,,,
Menounos et al.,Altimetry,ICESat-2 | GEDI,,1,,,,,,,,,,,,,,,,,
Menounos et al.,Glaciological,In situ,,1,,,,,,,,,,,,,,,,,
Miles et al.,Hybrid,In situ | ASTER | modelling,,,,,,,,,,,,,-1,-1,-1,,,,
Nilsson et al.,Altimetry,CryoSat-2 | EnviSat | ERS-1/2 | ICESat/-2,,,,,1,,,,,,,,,,,,,,
Pálsson et al.,Glaciological,In situ,,,,,,-1,,,,,,,,,,,,,
Pálsson et al.,Hybrid,In situ | modelling,,,,,,1,,,,,,,,,,,,,
Pfeffer et al.,Gravimetry,GRACE/-FO,,,1,1,,1,1,,1,,,,,,,,,,
Pfeffer et al.,Gravimetry,GRACE/-FO,,,1,1,,1,1,,1,,,,,,,,,,
Piermattei et al.,DEM differencing,ASTER,,,,,,1,,,,,,,,,,,,,
Piermattei et al.,DEM differencing,ArcticDEM | SPOT-5,,,,,,1,,,,,,,,,,,,,
Richter et al.,Gravimetry,GRACE,,,,,,,,,,,,,,,,,1,,
Sasgen et al.,Gravimetry,GRACE/-FO,1,-1,1,1,,1,1,-1,1,-1,-1,,-1,-1,-1,-1,1,-1,
Seehaus et al.,DEM differencing,SRTM | TanDEM-X,,,,,,,,,,,,,,,,1,,,
Sommer et al.,DEM differencing,TanDEM-X,,,,,,,,,1,,1,,,,,,,,
Sutterley et al.,Gravimetry,GRACE/-FO,1,,1,1,,1,1,,1,,,,,,,,1,,
Tepes et al.,Altimetry,CryoSat-2,,,1,1,,1,1,,1,,,,,,,,,,
Treichler et al.,Altimetry,ICESat,,,,,,,,,,,,,-1,-1,-1,,,,
Treichler et al.,Altimetry,ICESat,,,,,,,,,,,,,1,1,1,,,,
WGMS,Glaciological,In situ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wouters et al.,Gravimetry,GRACE/-FO,1,-1,1,1,,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,
Zheng et al.,DEM differencing,ArcticDEM,,,1,1,1,1,1,1,1,,,,,,,,,,
