,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
0,2000.0,2001.0,11000.276,iceland,-12.990472880178585,9.366069688170857,-1.1844758772300992,0.8473449982150305
1,2001.0,2002.0,10960.46,iceland,-8.748207246882153,8.428411522425733,-0.8005622792656836,0.7633255733446928
2,2002.0,2003.0,10920.644,iceland,-7.315230101627871,8.428710174780752,-0.6718689691843447,0.7636626313287029
3,2003.0,2004.0,10880.828,iceland,-13.978679296673429,6.1247708032054815,-1.288573031504325,0.5518146088737419
4,2004.0,2005.0,10841.012,iceland,-16.73778168829449,6.038448398925349,-1.5485773954197737,0.5423298424423396
5,2005.0,2006.0,10801.196,iceland,-16.199690189086123,6.047722059510129,-1.5043181787991662,0.5435143695094324
6,2006.0,2007.0,10761.38,iceland,-7.665384769381104,6.034890235209866,-0.7144483439614924,0.5461871540955904
7,2007.0,2008.0,10721.564,iceland,-11.079655779094644,6.029708300054054,-1.0365087372872837,0.5445092629149868
8,2008.0,2009.0,10681.748,iceland,-12.258828380104688,6.079330933319183,-1.1510958250170984,0.5485128490793701
9,2009.0,2010.0,10641.932,iceland,-3.6791193704347234,6.037851617620875,-0.3467593985993792,0.5473063550908392
10,2010.0,2011.0,10602.116,iceland,-31.336609981735982,6.180507140198607,-2.9645877002105427,0.5421875400608627
11,2011.0,2012.0,10562.3,iceland,-8.765793979198468,5.132524425571569,-0.8324106009742649,0.4637580376624643
12,2012.0,2013.0,10522.484,iceland,-7.373297786979082,5.098577850267712,-0.7028268457997349,0.4611693837175022
13,2013.0,2014.0,10482.668,iceland,-2.4179632765608936,5.009191392104502,-0.2313570355887946,0.4541411054992672
14,2014.0,2015.0,10442.852,iceland,-3.896958459251108,5.094224782470067,-0.3742928189338961,0.4616468818892743
15,2015.0,2016.0,10403.036,iceland,6.336952083815122,5.09420171211046,0.61097742469101,0.4610883798343214
16,2016.0,2017.0,10363.22,iceland,-9.692255745071352,5.11912692305537,-0.938069442228054,0.462158343065698
17,2017.0,2018.0,10323.404,iceland,-3.1087024998981945,5.006629064144922,-0.3020376486193815,0.45382219657122
18,2018.0,2019.0,10283.588,iceland,-2.7516258284087765,5.100852204323948,-0.2683796302461658,0.4624176716891081
19,2019.0,2020.0,10243.772,iceland,-11.365161500558363,5.169324531583401,-1.112808795363295,0.4659544282488461
20,2020.0,2021.0,10203.956,iceland,-10.000475523476974,6.058603988931352,-0.983007690855628,0.5475681071028246
21,2021.0,2022.0,10164.14,iceland,-13.329238828661252,6.164744810573015,-1.3153446203288284,0.5557915877801829
22,2022.0,2023.0,10124.324,iceland,1.3599810300778428,6.640809527699639,0.1347322793924142,0.6022100095911772
23,2023.0,2024.0,10084.508,iceland,-11.113052222213645,9.425928109193965,-1.1053084292565942,0.8533318008204914
