Region,Relative Difference (%),Absolute Difference (Gt),Spearman Correlation
Alaska,0.001094707222847324,0.18059385055380517,0.9991304347826085
Antarctic and subantarctic islands,0.0,0.0,0.9999999999999999
Arctic Canada north,-0.002261285952211392,-0.5450829787799876,0.994782608695652
Arctic Canada south,0.006608298742364781,0.5054026878165132,0.9991304347826085
Greenland periphery,0.0,0.0,0.9999999999999999
Iceland,0.007494426653228967,0.2527120667469376,0.9991304347826085
Svalbard and Jan Mayen,0.010225281508161405,0.6653590677356078,0.9991304347826085
Scandinavia,16.291239305646513,44.80090809052794,0.7460869565217391
Russian Arctic,-0.002330346769516916,-0.27810358347358033,0.9982608695652172
North Asia,31.430947242834634,43.060397722683454,0.3878260869565217
Central Europe,7.64156151135363,9.322705043851428,0.577391304347826
Caucasus and Middle East,-13.754993917801938,-6.87749695890097,0.23391304347826083
Central Asia,-0.0804933824137882,-2.3713350459103992,0.8278260869565216
South Asia west,-1.493566926176466,-38.57883370313846,0.6817391304347826
South Asia east,3.3443265305594667,27.289704489365192,0.17565217391304347
Low latitudes,-22.54946635629431,-20.29451972066488,0.37217391304347824
Southern Andes,0.49254886531335795,23.504431852752873,0.983478260869565
New Zealand,42.29533232859423,27.91491933687219,0.013043478260869565
Western Canada and USA,-3.0515667978829217,-28.989884579887786,0.8913043478260868
Global,0.06536037529421762,79.56187763814887,0.9469565217391304
