,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_gt,altimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_gt,gravimetry_gt_errors,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors
0,1999.75,2000.75,105019.027875,arctic_canada_north,-52.30349163572052,24.57925393326213,-0.4995368488931179,0.2332132086249058,,,,,,,,,-0.5171600551437372,0.179134010193578,-54.14871130823574,18.966701483884425
1,2000.75,2001.75,104945.450175,arctic_canada_north,-23.83889332595507,20.49515191771011,-0.2278386072163013,0.1952414918205133,,,,,,,,,-0.2454618134669206,0.1257769178315665,-25.682820213512684,13.243281700287302
2,2001.75,2002.75,104871.872475,arctic_canada_north,5.323430596192851,18.69824982672395,0.0509140231504378,0.1784077126112825,,,,,,,,,0.0332908168998185,0.0976212315538944,3.4807964935928206,10.231762368978295
3,2002.75,2003.75,104798.294775,arctic_canada_north,-15.694872467197175,10.570571881838372,-0.1502133102192705,0.1005900609671112,-0.0858888456115068,0.0944807617305478,-8.974001546598318,9.911336294076975,-0.2086946933964568,0.0458788536795721,-21.805235452550505,4.929971797025621,-0.156056391649848,0.1146103770558996,-16.30538040244269,12.038308820267535
4,2003.75,2004.75,104724.717075,arctic_canada_north,14.43252655522118,10.032868227662462,0.1382286323878007,0.0954894694958558,0.1771945897819443,0.0612875376663931,18.500983322288395,6.488943302945801,0.1101025893760734,0.0438093281207857,11.495871134069283,4.626869734204806,0.1273887180053843,0.0974192401454804,13.300725209305844,10.230752024691453
5,2004.75,2005.75,104651.139375,arctic_canada_north,-34.722811893991015,10.246731893652218,-0.3327942149824011,0.0963644862335606,-0.3212059085748495,0.0612875376663931,-33.51372061342106,6.637664717542028,-0.3761566531706053,0.0437471421806852,-39.24712667077718,4.986840981722098,-0.3010200832017485,0.1049134497291147,-31.407588397774816,11.106060091887583
6,2005.75,2006.75,104577.561675,arctic_canada_north,-10.076900534543832,10.055602165712004,-0.0966480958177042,0.0958338423288473,-0.0850516362182182,0.0612875376663931,-8.867809253973865,6.437954980545324,-0.1416635811023833,0.0440402376209022,-14.770387394166347,4.673940799259993,-0.0632290701325111,0.1003155123069482,-6.592504955491273,10.517797479625852
7,2006.75,2007.75,104503.983975,arctic_canada_north,-63.10137385001298,10.596791516519962,-0.6056347823823849,0.0965326310727907,-0.5940301581101943,0.0612875376663931,-61.89228256944302,7.1293271655364245,-0.6747466941872547,0.0436648239057186,-70.3021765633795,5.7701566372603965,-0.5481274948497058,0.1063293911828705,-57.10966241721645,11.502917066447786
8,2007.75,2008.75,104430.406275,arctic_canada_north,-56.00970892443726,10.41408690055604,-0.5379491056222406,0.0957146245056223,-0.5263363051723087,0.0612875376663931,-54.8006176438673,6.982724286730038,-0.4653176425986572,0.0437791501794805,-48.447530532112516,5.1881032691607025,-0.6221933690957561,0.0994012405724934,-64.78097859733198,10.908783728386686
9,2008.75,2009.75,104356.828575,arctic_canada_north,-52.02228274960291,10.421618621404964,-0.5000038801459388,0.0962997418051536,-0.4883828919888933,0.0612875376663931,-50.81319146903294,6.906925531471123,-0.5708812185550961,0.0438366791429755,-59.39662740105696,5.470261485895349,-0.4407475298938269,0.1043394677333887,-45.85702937871883,11.172135504119185
10,2009.75,2010.75,104283.250875,arctic_canada_north,-30.206800906319188,10.889002772507132,-0.2905326956540762,0.1029026281078176,-0.2833939337843252,0.1209516468865436,-29.464580971204064,12.760537394920783,-0.2959903288072744,0.0461317825862506,-30.77423321443598,5.073377827100231,-0.2922138243706289,0.107911511837419,-30.381588533317526,11.410230826584533
11,2010.75,2011.75,104209.673175,arctic_canada_north,-87.1810009482334,11.946278910098446,-0.8391095401883892,0.1061360812371799,-0.842862504406634,0.1516656988728028,-87.57092283733029,16.48599345486407,-0.7950272008686805,0.0479751353136814,-82.60097619345697,6.506452737137745,-0.8794389152898531,0.0958200951432046,-91.3711038139129,11.031955265819468
12,2011.75,2012.75,104136.095475,arctic_canada_north,-66.72987355333204,10.854014445818962,-0.6427230178420705,0.0985582458831136,-0.4686814888769657,0.0989947219027957,-48.660240292237674,10.655700105297186,-0.6783470441207811,0.0483483683089962,-70.42849131409045,6.170241068952179,-0.7811405205284649,0.0915849856361819,-81.10088905366797,10.419185005169481
13,2012.75,2013.75,104062.517775,arctic_canada_north,14.853951641101752,9.954141946860664,0.1431701625369722,0.0947214376170399,0.0599692848078259,0.0600994432970998,6.221833101969615,6.305839603625658,0.2102982781048941,0.04780533823784,21.818515798432408,5.127195923342403,0.1592429246981964,0.0891843150011297,16.521506022903203,9.382565864516806
14,2013.75,2014.75,103988.940075,arctic_canada_north,-26.199338711281012,10.204050862817477,-0.2527016162682427,0.0965652198681546,-0.2903075318325251,0.0780075972456874,-30.098206213460447,8.312223612168925,-0.3569334043258108,0.0481062918147186,-37.00577501402287,5.370156988727286,-0.1108639126463922,0.0928760111448828,-11.494034906359717,9.749955893863682
15,2014.75,2015.75,103915.362375,arctic_canada_north,-61.94859521843729,11.040476464115194,-0.5979385415110003,0.1011213316714351,-0.6419816306214995,0.12228129118945,-66.51161852277413,13.239039491670477,-0.5612963644062459,0.0481742669969764,-58.15233316172395,5.82590137963131,-0.590537629505256,0.0886454628738079,-61.181833970813834,9.78037997846637
