region,year_start,year_end,glacier_mass_at_start,glacier_mass_error_at_start,annual_change_gt,annual_change_error,relative_change,relative_change_error,relative_change_pct,relative_change_error_pct
Global,2000,2001,121728.0,11509.0,-78.04414729402814,111.56095088251794,-0.0006411355423076707,0.0009184797964325705,-0.06411355423076708,0.09184797964325705
Global,2001,2002,121649.95585270597,11509.540687871164,-215.16931097001844,95.3001011576375,-0.0017687578220788333,0.0008010705437812228,-0.17687578220788333,0.08010705437812228
Global,2002,2003,121434.78654173596,11509.935228099352,-128.46636738674923,91.14634450070768,-0.001057904172644933,0.000757246623842241,-0.1057904172644933,0.07572466238422411
Global,2003,2004,121306.32017434921,11510.296113096236,-192.6724697716301,72.79887688516011,-0.001588313531353592,0.0006187588008087651,-0.1588313531353592,0.06187588008087651
Global,2004,2005,121113.64770457758,11510.526325395987,-229.2369109878561,73.022158218317,-0.001892742191590287,0.0006291852637759739,-0.1892742191590287,0.06291852637759739
Global,2005,2006,120884.41079358973,11510.757947382306,-315.0371756633185,74.19065798809451,-0.002606102586720176,0.0006620035797043418,-0.2606102586720176,0.06620035797043418
Global,2006,2007,120569.37361792641,11510.997036614926,-279.8898739792978,72.77317030930298,-0.002321401078736992,0.0006429830487425708,-0.2321401078736992,0.06429830487425708
Global,2007,2008,120289.48374394712,11511.227072353082,-323.16570882967466,71.78509732133082,-0.002686566595610118,0.000649793098174922,-0.2686566595610118,0.0649793098174922
Global,2008,2009,119966.31803511744,11511.450899494466,-178.6324817323364,71.86184704387401,-0.0014890219576468601,0.0006158213452700328,-0.14890219576468602,0.061582134527003285
Global,2009,2010,119787.6855533851,11511.675201139602,-231.2381243724868,71.29354455724742,-0.0019303998011501124,0.000623407887910524,-0.19303998011501122,0.062340788791052405
Global,2010,2011,119556.44742901262,11511.895964871643,-231.1966727048064,72.2582027545506,-0.001933786739875161,0.000632418302808229,-0.1933786739875161,0.06324183028082289
