start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
1990.2465753424656,1990.328767123288,-0.298,0.1874,1161.8,1151.5
1990.328767123288,1990.4136986301369,0.8556,0.1719,1161.8,1151.5
1990.4136986301369,1990.495890410959,0.6054,0.1573,1161.8,1151.5
1990.495890410959,1990.580821917808,0.5318,0.1165,1161.8,1151.5
1990.580821917808,1990.6657534246576,0.4392,0.1267,1161.8,1151.5
1990.6657534246576,1990.74794520548,0.1799,0.0773,1161.8,1151.5
1990.74794520548,1990.8328767123287,0.365,0.2561,1161.8,1151.5
1990.8328767123287,1990.9150684931508,-0.3535,0.0912,1161.8,1151.5
1990.9150684931508,1991.0,-0.593,0.1251,1161.8,1151.5
1991.0,1991.0849315068488,-0.9134,0.149,1161.8,1151.5
1991.0849315068488,1991.1616438356164,-0.7623,0.1344,1161.8,1151.5
1991.1616438356164,1991.2465753424656,-0.9708,0.1563,1161.8,1151.5
1991.2465753424656,1991.328767123288,0.3413,0.2306,1161.8,1141.2
1991.328767123288,1991.4136986301369,0.0967,0.0963,1161.8,1141.2
1991.4136986301369,1991.495890410959,0.2663,0.0638,1161.8,1141.2
1991.495890410959,1991.580821917808,0.3999,0.0851,1161.8,1141.2
1991.580821917808,1991.6657534246576,1.2542,0.2446,1161.8,1141.2
1991.6657534246576,1991.74794520548,0.6393,0.1324,1161.8,1141.2
1991.74794520548,1991.8328767123287,0.4154,0.1741,1161.8,1141.2
1991.8328767123287,1991.9150684931508,0.2294,0.128,1161.8,1141.2
1991.9150684931508,1992.0,-1.0505,0.2008,1161.8,1141.2
1992.0,1992.084699453552,-1.2575,0.2153,1161.8,1141.2
1992.084699453552,1992.1639344262296,-1.0127,0.1935,1161.8,1141.2
1992.1639344262296,1992.2486338797808,-0.502,0.2083,1161.8,1141.2
1992.2486338797808,1992.330601092896,-0.1183,0.0979,1161.8,1140.9
1992.330601092896,1992.415300546448,0.172,0.0365,1161.8,1140.9
1992.415300546448,1992.4972677595629,0.345,0.0718,1161.8,1140.9
1992.4972677595629,1992.5819672131147,0.7137,0.1642,1161.8,1140.9
1992.5819672131147,1992.6666666666667,0.8074,0.2278,1161.8,1140.9
1992.6666666666667,1992.7486338797808,0.1385,0.0287,1161.8,1140.9
1992.7486338797808,1992.8333333333333,0.5256,0.1346,1161.8,1140.9
1992.8333333333333,1992.915300546448,-0.3255,0.1263,1161.8,1140.9
1992.915300546448,1993.0,-0.6475,0.1432,1161.8,1140.9
1993.0,1993.0849315068488,-0.552,0.1424,1161.8,1140.9
1993.0849315068488,1993.1616438356164,-0.6954,0.1428,1161.8,1140.9
1993.1616438356164,1993.2465753424656,-0.5679,0.148,1161.8,1140.9
1993.2465753424656,1993.328767123288,-0.1173,0.1526,1161.8,1131.0
1993.328767123288,1993.4136986301369,0.3759,0.1705,1161.8,1131.0
1993.4136986301369,1993.495890410959,1.0149,0.2036,1161.8,1131.0
1993.495890410959,1993.580821917808,0.3127,0.1507,1161.8,1131.0
1993.580821917808,1993.6657534246576,0.2863,0.0801,1161.8,1131.0
1993.6657534246576,1993.74794520548,0.3115,0.0572,1161.8,1131.0
1993.74794520548,1993.8328767123287,0.6105,0.232,1161.8,1131.0
1993.8328767123287,1993.9150684931508,0.0403,0.1585,1161.8,1131.0
1993.9150684931508,1994.0,-0.7398,0.149,1161.8,1131.0
1994.0,1994.0849315068488,-1.0334,0.1738,1161.8,1131.0
1994.0849315068488,1994.1616438356164,-1.1085,0.1781,1161.8,1131.0
1994.1616438356164,1994.2465753424656,-0.8264,0.1489,1161.8,1131.0
1994.2465753424656,1994.328767123288,-0.1063,0.1759,1161.8,1111.3
1994.328767123288,1994.4136986301369,0.508,0.1192,1161.8,1111.3
1994.4136986301369,1994.495890410959,0.5273,0.1153,1161.8,1111.3
1994.495890410959,1994.580821917808,0.5443,0.1025,1161.8,1111.3
1994.580821917808,1994.6657534246576,0.7192,0.196,1161.8,1111.3
1994.6657534246576,1994.74794520548,0.6225,0.1037,1161.8,1111.3
1994.74794520548,1994.8328767123287,0.2259,0.0581,1161.8,1111.3
1994.8328767123287,1994.9150684931508,1.0002,0.372,1161.8,1111.3
1994.9150684931508,1995.0,-0.9911,0.1877,1161.8,1111.3
1995.0,1995.0849315068488,-1.4427,0.2022,1161.8,1111.3
1995.0849315068488,1995.1616438356164,-1.4751,0.2039,1161.8,1111.3
1995.1616438356164,1995.2465753424656,-1.062,0.1689,1161.8,1111.3
1995.2465753424656,1995.328767123288,-0.4383,0.0683,1161.8,1094.1
1995.328767123288,1995.4136986301369,0.448,0.1671,1161.8,1094.1
1995.4136986301369,1995.495890410959,0.3086,0.0669,1161.8,1094.1
1995.495890410959,1995.580821917808,0.4094,0.0907,1161.8,1094.1
1995.580821917808,1995.6657534246576,0.5419,0.1323,1161.8,1094.1
1995.6657534246576,1995.74794520548,1.1783,0.2407,1161.8,1094.1
1995.74794520548,1995.8328767123287,0.4718,0.1242,1161.8,1094.1
1995.8328767123287,1995.9150684931508,0.0538,0.1972,1161.8,1094.1
1995.9150684931508,1996.0,-0.7094,0.1448,1161.8,1094.1
1996.0,1996.084699453552,-1.1869,0.17,1161.8,1094.1
1996.084699453552,1996.1639344262296,-0.9881,0.1483,1161.8,1094.1
1996.1639344262296,1996.2486338797808,-0.8069,0.1466,1161.8,1094.1
1996.2486338797808,1996.330601092896,0.0157,0.2824,1161.8,1067.4
1996.330601092896,1996.415300546448,0.4124,0.0901,1161.8,1067.4
1996.415300546448,1996.4972677595629,0.4101,0.1674,1161.8,1067.4
1996.4972677595629,1996.5819672131147,0.1351,0.0383,1161.8,1067.4
1996.5819672131147,1996.6666666666667,0.3469,0.0798,1161.8,1067.4
1996.6666666666667,1996.7486338797808,0.5687,0.1838,1161.8,1067.4
1996.7486338797808,1996.8333333333333,0.7943,0.3315,1161.8,1067.4
1996.8333333333333,1996.915300546448,0.4105,0.2027,1161.8,1067.4
1996.915300546448,1997.0,-0.9787,0.1902,1161.8,1067.4
1997.0,1997.0849315068488,-1.3131,0.2301,1161.8,1067.4
1997.0849315068488,1997.1616438356164,-1.3811,0.2309,1161.8,1067.4
1997.1616438356164,1997.2465753424656,-1.0826,0.1833,1161.8,1067.4
1997.2465753424656,1997.328767123288,0.3691,0.2538,1161.8,1036.0
1997.328767123288,1997.4136986301369,0.1054,0.1767,1161.8,1036.0
1997.4136986301369,1997.495890410959,0.1584,0.0853,1161.8,1036.0
1997.495890410959,1997.580821917808,0.4496,0.1011,1161.8,1036.0
1997.580821917808,1997.6657534246576,0.8398,0.189,1161.8,1036.0
1997.6657534246576,1997.74794520548,0.1691,0.0556,1161.8,1036.0
1997.74794520548,1997.8328767123287,0.3094,0.197,1161.8,1036.0
1997.8328767123287,1997.9150684931508,0.8081,0.2723,1161.8,1036.0
1997.9150684931508,1998.0,-0.5521,0.2237,1161.8,1036.0
1998.0,1998.0849315068488,-1.262,0.2531,1161.8,1036.0
1998.0849315068488,1998.1616438356164,-1.3857,0.2687,1161.8,1036.0
1998.1616438356164,1998.2465753424656,-1.1289,0.2159,1161.8,1036.0
1998.2465753424656,1998.328767123288,0.1251,0.259,1161.8,1013.3
1998.328767123288,1998.4136986301369,0.2081,0.201,1161.8,1013.3
1998.4136986301369,1998.495890410959,0.6875,0.1498,1161.8,1013.3
1998.495890410959,1998.580821917808,0.8395,0.1723,1161.8,1013.3
1998.580821917808,1998.6657534246576,0.5629,0.1075,1161.8,1013.3
1998.6657534246576,1998.74794520548,0.5944,0.1384,1161.8,1013.3
1998.74794520548,1998.8328767123287,0.9322,0.3283,1161.8,1013.3
1998.8328767123287,1998.9150684931508,-0.3659,0.0711,1161.8,1013.3
1998.9150684931508,1999.0,-0.9063,0.1943,1161.8,1013.3
1999.0,1999.0849315068488,-1.3589,0.25,1161.8,1013.3
1999.0849315068488,1999.1616438356164,-1.2768,0.2233,1161.8,1013.3
1999.1616438356164,1999.2465753424656,-1.0958,0.1992,1161.8,1013.3
1999.2465753424656,1999.328767123288,-0.0446,0.2116,1161.8,986.6
1999.328767123288,1999.4136986301369,0.1428,0.2718,1161.8,986.6
1999.4136986301369,1999.495890410959,0.2879,0.0577,1161.8,986.6
1999.495890410959,1999.580821917808,0.4354,0.076,1161.8,986.6
1999.580821917808,1999.6657534246576,0.2982,0.0589,1161.8,986.6
1999.6657534246576,1999.74794520548,0.2447,0.0981,1161.8,986.6
1999.74794520548,1999.8328767123287,0.0585,0.277,1161.8,986.6
1999.8328767123287,1999.9150684931508,-0.2227,0.1992,1161.8,986.6
1999.9150684931508,2000.0,-0.423,0.231,1161.8,986.6
2000.0,2000.084699453552,-0.7888,0.225,1161.8,986.6
