start_dates,end_dates,changes,errors
2000.0,2001.0,-0.14924146409923067,
2001.0,2002.0,-0.24526103642646613,
2002.0,2003.0,-0.12740479945194277,
2003.0,2004.0,-0.23552720143823164,0.13481858148130518
2004.0,2005.0,0.08335219472689587,0.12787867693043314
2005.0,2006.0,-0.0016428570536096143,0.14690415765153392
2006.0,2007.0,-0.6567647898839573,0.13205316045449025
2007.0,2008.0,-0.09192478404953963,0.10857682473352832
2008.0,2009.0,-0.07942224482591631,0.12250151429479136
2009.0,2010.0,-0.16875758778647987,0.23961754876977462
2010.0,2011.0,0.4382202640196784,0.14949459728671965
2011.0,2012.0,-0.19297009482718885,0.1385835699849979
2012.0,2013.0,-0.06319523617020806,0.13133390963325253
2013.0,2014.0,-0.41472255303527156,0.9957106417122833
2014.0,2015.0,0.16995242425307172,0.31465948243222486
2015.0,2016.0,0.0256746032501991,0.11382092471009769
2016.0,2017.0,0.27063634153814436,0.5539846912990002
2017.0,2018.0,-0.3958397038478241,0.4089269875818936
2018.0,2019.0,-0.2207877208062065,0.22361209401639637
2019.0,2020.0,0.3742003607089095,0.7614498510035026
2020.0,2021.0,-0.6438901055055253,0.2041667249090463
2021.0,2022.0,-0.2615781339840413,
2022.0,2023.0,-0.3997850518401797,
2023.0,2024.0,-0.5047148378832496,
