start_dates,end_dates,changes,errors
1999.75,2000.75,0.16573898003920862,
2000.75,2001.75,-0.40675492880805103,0.09146424844439845
2001.75,2002.75,-0.17155579080953298,0.06796903285420695
2002.75,2003.75,-0.37775817863029276,0.06705648001353952
2003.75,2004.75,-0.5366270081402921,0.0741271029216881
2004.75,2005.75,-0.41341638368588646,0.06593437996429818
2005.75,2006.75,-0.2105333005154434,0.055664576779245904
2006.75,2007.75,-0.17600669358370172,0.05565910911526493
2007.75,2008.75,0.11377953109768053,0.056384100822591154
2008.75,2009.75,-0.2830634765144285,0.07912143917361963
2009.75,2010.75,-0.03926929543247202,0.05536807667638508
2010.75,2011.75,-0.6370143623689684,0.05430120175669856
2011.75,2012.75,-0.06472062248744953,0.05613227636164199
2012.75,2013.75,-0.7138017451172407,0.07742059862167958
2013.75,2014.75,-0.03334360205977882,0.06234655147764393
2014.75,2015.75,-0.46976815186498605,0.06835538155064246
2015.75,2016.75,-0.7562108774279784,0.06953439399534238
2016.75,2017.75,-0.373622203525261,0.06737556938363573
2017.75,2018.75,-0.599230952661727,0.06955034636224873
2018.75,2019.75,-0.43010800320422354,0.05920913671337901
2019.75,2020.75,-1.34413926836573,0.08523275830377909
2020.75,2021.75,-0.28971837623122515,0.06394583292169538
2021.75,2022.75,-1.148177744710216,
2022.75,2023.75,-0.7025931359160875,
2023.75,2024.75,-0.6309303113740745,
