start_dates,end_dates,changes,errors
2000.0,2001.0,-97.92725627019014,128.97856233052855
2001.0,2002.0,-209.72261543292456,118.44730573104654
2002.0,2003.0,-127.50247552224792,115.99535419742105
2003.0,2004.0,-203.30568796575432,93.09706582776623
2004.0,2005.0,-231.72526268758892,93.21637966557181
2005.0,2006.0,-284.02399933109643,93.93354759635396
2006.0,2007.0,-280.33896951890245,92.90930464043541
2007.0,2008.0,-275.5411750702473,92.2551816690865
2008.0,2009.0,-160.93953844317622,92.32330567372897
2009.0,2010.0,-275.79024089195093,93.2686983446697
2010.0,2011.0,-207.36907554125148,93.95332775753964
2011.0,2012.0,-379.14484367047055,92.73866207843434
2012.0,2013.0,-137.55883580113294,92.16890133923337
2013.0,2014.0,-327.0876061068835,90.073551421335
2014.0,2015.0,-162.61947481181784,90.08411918510204
2015.0,2016.0,-258.51364876039605,90.70817215312344
2016.0,2017.0,-372.5183296153495,91.71189694293827
2017.0,2018.0,-208.79167964893202,85.49443151246362
2018.0,2019.0,-232.96180170511087,85.67108700602687
2019.0,2020.0,-418.01162037396836,93.1564682481621
2020.0,2021.0,-436.7503418229626,98.34317641875185
2021.0,2022.0,-212.71686872023645,108.3273938331062
2022.0,2023.0,-461.6029975812176,130.44433488510248
2023.0,2024.0,-538.3743541062074,141.05390575139978
