start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,remarks
2002.7479452054797,2003.7479452054797,-15.44,2.96,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2003.7479452054797,2004.7486338797812,-17.7,3.62,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2004.7486338797812,2005.7479452054797,-13.92,9.77,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2005.7479452054797,2006.7479452054797,-11.6,4.17,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2006.7479452054797,2007.7479452054797,-9.79,2.9,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2007.7479452054797,2008.7486338797812,-12.82,2.79,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2008.7486338797812,2009.7479452054797,-4.67,2.11,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2009.7479452054797,2010.7479452054797,-36.82,6.23,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2010.7479452054797,2011.7479452054797,-5.1,6.86,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2011.7479452054797,2012.7486338797812,-8.19,4.36,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2012.7486338797812,2013.7479452054797,-5.91,2.12,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2013.7479452054797,2014.7479452054797,-12.5,4.79,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
2014.7479452054797,2015.7479452054797,10.29,1.48,11060,11060,"only grace period 2003-2015, update to Box et al 2018"
