,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
0,2000.0,2001.0,29402.5139,southern_andes,2.909061220402932,34.892765523248165,0.0992369113171686,1.1892165795710683
1,2001.0,2002.0,29349.5417,southern_andes,-12.646507047163624,34.75987228882792,-0.4321893969932647,1.1845015634159208
2,2002.0,2003.0,29296.5695,southern_andes,-2.903351315551152,27.564782570058338,-0.0994002925252395,0.9394591164548012
3,2003.0,2004.0,29243.5973,southern_andes,-28.279775706412863,27.500598232797376,-0.9699514743818796,0.9360448360146147
4,2004.0,2005.0,29190.6251,southern_andes,5.679542836132281,29.494477870714984,0.1951528175508405,1.005194071198168
5,2005.0,2006.0,29137.6529,southern_andes,-50.24146536917774,28.48841707262201,-1.7294681720597669,0.9671695839316932
6,2006.0,2007.0,29084.6807,southern_andes,-23.08254029626628,27.277370487478898,-0.7960203009937683,0.9288439425139616
7,2007.0,2008.0,29031.7085,southern_andes,-36.40059025071662,27.604733724033,-1.257594626666711,0.9387866435322186
8,2008.0,2009.0,28978.7363,southern_andes,-20.216397882702253,27.6507233932606,-0.6997278750011091,0.941771288372632
9,2009.0,2010.0,28925.7641,southern_andes,6.138597475028133,27.09587214803937,0.2128575984988879,0.9234313327822534
10,2010.0,2011.0,28872.7919,southern_andes,-47.74034678842666,26.99180852581257,-1.658447127337935,0.9163394752584176
11,2011.0,2012.0,28819.8197,southern_andes,-60.147570536271374,23.789635279005253,-2.093300958606831,0.8043015204373988
12,2012.0,2013.0,28766.8475,southern_andes,-24.76300429358907,22.11846780288856,-0.8634076724646813,0.75266698367019
13,2013.0,2014.0,28713.8753,southern_andes,9.188609563887953,22.007816315911217,0.3209688083762301,0.7499143019124219
14,2014.0,2015.0,28660.9031,southern_andes,-0.2185749317120095,22.544675197954447,-0.0076491877745754,0.7683750749017979
15,2015.0,2016.0,28607.9309,southern_andes,-29.620008265022584,23.64720970053255,-1.0384929890906127,0.8043699336194039
16,2016.0,2017.0,28554.9587,southern_andes,-64.04624941875875,25.24386147859101,-2.249660627865376,0.8534190313326411
17,2017.0,2018.0,28501.9865,southern_andes,-22.62776928642941,23.035753939870816,-0.7962903517970727,0.7841647679591747
18,2018.0,2019.0,28449.0143,southern_andes,-40.44935206324479,23.41720705764565,-1.42609739765296,0.7951308689831925
19,2019.0,2020.0,28396.0421,southern_andes,-26.77043398114545,24.579839384625892,-0.9455890665118912,0.8364952481836733
20,2020.0,2021.0,28343.0699,southern_andes,-27.19178128652007,30.566012394931757,-0.9622670440790349,1.0407299876323306
21,2021.0,2022.0,28290.0977,southern_andes,-24.717015465197413,35.14364165024735,-0.8763274661331307,1.1970365256348452
22,2022.0,2023.0,28237.1255,southern_andes,-40.652570411616665,43.69874693950949,-1.4440172069535686,1.4877432569034574
23,2023.0,2024.0,28184.1533,southern_andes,-48.84324458466686,43.23319952423867,-1.7382184488174048,1.4711356139636504
