start_dates,end_dates,changes,errors
1999.75,2000.75,-51.778828492350904,24.714260021874605
2000.75,2001.75,-23.314597768423415,20.658675928563895
2001.75,2002.75,5.847358567886535,18.879370307587614
2002.75,2003.75,-14.787348313554425,10.606254197191621
2003.75,2004.75,15.23921469179251,10.105932095400298
2004.75,2005.75,-33.91612375741969,10.30866955536513
2005.75,2006.75,-9.2702123979725,10.123620707925479
2006.75,2007.75,-62.29468571344166,10.651322955370258
2007.75,2008.75,-55.20302078786593,10.470935967580017
2008.75,2009.75,-51.21559461303158,10.479194234376807
2009.75,2010.75,-29.299276752676448,10.920630473472157
2010.75,2011.75,-86.79344534253845,12.00545140916737
2011.75,2012.75,-66.3423179476371,10.920922263041058
2012.75,2013.75,15.241507246796685,10.034936309091893
2013.75,2014.75,-25.81178310558608,10.279012923243384
2014.75,2015.75,-61.561039612742356,11.10667813057199
2015.75,2016.75,-15.558241072553933,10.13030978323853
2016.75,2017.75,13.80722806315911,10.036836157721947
2017.75,2018.75,11.139530379394207,10.072279007149909
2018.75,2019.75,-54.44792772475409,11.160919034141914
2019.75,2020.75,-55.05095421382916,10.681095068075912
2020.75,2021.75,-5.126989332209865,10.36324524043992
2021.75,2022.75,-35.209192551666646,12.040227439606108
2022.75,2023.75,-44.190137720930274,17.218887023986355
2023.75,2024.75,-30.784137859667332,28.653001377727207
