start_dates,end_dates,changes
2000.25,2001.25,0.11103099431404506
2001.25,2002.25,-1.3292455019982456
2002.25,2003.25,-0.9708847397589444
2003.25,2004.25,-1.77375662667536
2004.25,2005.25,0.9322714390885389
2005.25,2006.25,0.11641104879646025
2006.25,2007.25,0.27830309990693314
2007.25,2008.25,-2.157091176685236
2008.25,2009.25,-1.1683777211808124
2009.25,2010.25,-0.23149911309409998
2010.25,2011.25,-2.6015071756054913
2011.25,2012.25,-1.104311098925901
2012.25,2013.25,0.028147370628093693
2013.25,2014.25,-0.010452791816309759
2014.25,2015.25,-0.03811913841306436
2015.25,2016.25,-1.6262160122679752
2016.25,2017.25,0.12648721045696032
2017.25,2018.25,-2.759816546049924
2018.25,2019.25,-2.198706506825281
2019.25,2020.25,-1.7334834795378447
2020.25,2021.25,-0.5611720431142585
2021.25,2022.25,-1.7269198655001528
2022.25,2023.25,-1.7144261376615355
2023.25,2024.25,-1.2972191479813915
