start_dates,end_dates,changes
2000.0,2001.0,-0.5934003711822098
2001.0,2002.0,0.4019665729881809
2002.0,2003.0,-0.7554326466468112
2003.0,2004.0,-4.0975870621061805
2004.0,2005.0,-1.4388937785429576
2005.0,2006.0,-1.8171159119364326
2006.0,2007.0,-2.3588428656706264
2007.0,2008.0,-1.5790536047853114
2008.0,2009.0,-1.5093602965005972
2009.0,2010.0,-1.5827261116565265
2010.0,2011.0,-1.034331703816413
2011.0,2012.0,-2.4940224073254904
2012.0,2013.0,-2.7965827240695345
2013.0,2014.0,-0.5687006031528771
2014.0,2015.0,-0.34779058481839886
2015.0,2016.0,-2.9636622375676023
2016.0,2017.0,-1.3798379610635578
2017.0,2018.0,-2.5871083005234867
2018.0,2019.0,-2.4371975090104008
2019.0,2020.0,-1.9190249575445038
2020.0,2021.0,-1.2755945990250341
2021.0,2022.0,-1.582979860184506
2022.0,2023.0,-6.237435177272426
2023.0,2024.0,-4.375191438019658
