start_dates,end_dates,changes
2000.0,2001.0,-0.2780412432778797
2001.0,2002.0,0.19007130703175268
2002.0,2003.0,-0.3605156499993134
2003.0,2004.0,-1.9737653955826773
2004.0,2005.0,-0.6996373060453491
2005.0,2006.0,-0.8919538265265944
2006.0,2007.0,-1.1689976654708405
2007.0,2008.0,-0.7901445173856915
2008.0,2009.0,-0.7626732624750852
2009.0,2010.0,-0.8076608505112504
2010.0,2011.0,-0.5330934168399731
2011.0,2012.0,-1.2983968712841731
2012.0,2013.0,-1.4707629995479157
2013.0,2014.0,-0.3021703361283247
2014.0,2015.0,-0.18671757896447583
2015.0,2016.0,-1.607838564640458
2016.0,2017.0,-0.7565476178887018
2017.0,2018.0,-1.4337266526145749
2018.0,2019.0,-1.3653255958889576
2019.0,2020.0,-1.08685390562919
2020.0,2021.0,-0.7304671282362125
2021.0,2022.0,-0.9166730017324138
2022.0,2023.0,-3.653010668614841
2023.0,2024.0,-2.5918141163147377
