,start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
0,2000.0,2001.0,14907.1245,south_asia_east,-2.53568171165768,5.967536639391293,-0.1566312413721902,0.3728669767408168
1,2001.0,2002.0,14837.8747,south_asia_east,-8.863394489226922,5.770698601190477,-0.5500547381397778,0.3595843599372022
2,2002.0,2003.0,14768.6249,south_asia_east,-7.623382919850065,5.7713415407925055,-0.4753190327676427,0.3599021000268251
3,2003.0,2004.0,14699.3751,south_asia_east,-8.930635541227444,5.805441328159724,-0.5594496724866971,0.3617459092622265
4,2004.0,2005.0,14630.1253,south_asia_east,-9.781471633164047,5.871660501284694,-0.6156497171469637,0.3656840434382815
5,2005.0,2006.0,14560.8755,south_asia_east,-6.388423348137693,5.806917693858716,-0.4040021998149696,0.3623635463025686
6,2006.0,2007.0,14491.6257,south_asia_east,-11.660660292470316,5.806389931274756,-0.740940894378711,0.3610459971910599
7,2007.0,2008.0,14422.375900000001,south_asia_east,-5.4471612292208285,5.816146952364248,-0.3477850821703412,0.363091047201434
8,2008.0,2009.0,14353.1261,south_asia_east,-6.003107698032599,5.800848732180996,-0.3851298359091711,0.362048073552001
9,2009.0,2010.0,14283.8763,south_asia_east,-6.761594830896896,5.750468783269539,-0.4358937008477362,0.3587635010514385
10,2010.0,2011.0,14214.6265,south_asia_east,-5.0800806228517725,5.755982972058758,-0.3290884818276443,0.3593793285545597
11,2011.0,2012.0,14145.3767,south_asia_east,0.9000294413282458,5.757841865688388,0.0585894915021745,0.3598349415723019
12,2012.0,2013.0,14076.1269,south_asia_east,-10.090235389398009,5.7404058578156905,-0.6600786022400806,0.3573679890146167
13,2013.0,2014.0,14006.8771,south_asia_east,-5.187886243241284,5.915267661928401,-0.3410567558249804,0.3693289032395563
14,2014.0,2015.0,13937.6273,south_asia_east,-7.878850665832392,5.795372977314136,-0.5205369368755302,0.361353753021102
15,2015.0,2016.0,13868.3775,south_asia_east,-7.071780198491685,5.837336512522261,-0.4695486855450435,0.3641441850391824
16,2016.0,2017.0,13799.127700000001,south_asia_east,-4.104212934470709,5.769592923018999,-0.2738771381855684,0.3603521850804552
17,2017.0,2018.0,13729.8779,south_asia_east,-18.65023872101772,6.777979951333643,-1.2508212482676404,0.4195730174854195
18,2018.0,2019.0,13660.6281,south_asia_east,-4.935382636322097,5.877463176802516,-0.3326807644907786,0.366997966307237
19,2019.0,2020.0,13591.3783,south_asia_east,-9.267331493861343,5.820282891652354,-0.6278685467768913,0.3625937138609445
20,2020.0,2021.0,13522.1285,south_asia_east,-6.217008764689583,5.8947987665533566,-0.4233640246580628,0.3678927006155137
21,2021.0,2022.0,13452.878700000001,south_asia_east,-4.523703325580885,8.646919780117209,-0.3096395438710932,0.540218762755367
22,2022.0,2023.0,13383.6289,south_asia_east,-17.012998226045763,9.7195972609243,-1.1705352609766329,0.6051115944085789
23,2023.0,2024.0,13314.3791,south_asia_east,-19.159656764432096,9.75215402614956,-1.3250868263213045,0.6065293659463733
